series,edition,page,table,header
면적,1972,22,3. 구ㆍ시ㆍ군별 면적 및 행정단위,20--토지 ⏐ 3. 구•시 •군별 면적 및 행정단위 ⏐ ※ 1971. 12. 31 현재 ⏐ 면 적 1km리) 행 정 단 위 Adminstrative unit ⏐ 동 Dong 리•동 R•Dong 통•부라 출장소 Branch of ⏐ 행 정법정 읍 면 행 정 |법 정 반 ⏐ Area 비 %을 Admnsi_ Adminis- Tong* 시•도 구·시군읍.면 ⏐ (sq.km) Legal Eub Myeon tratrve Legal Village Ban Province Gu•si•Gun Eub• Myeon ⏐ 서울특별시 City of Seoul 613. 04 100. 0 307 465 ㅡ 5 532 47 782 8 ⏐ 10. 68 1.7 25 73 265 1 916 ⏐ 7 Jung Gu 6.34 1.0 21 65 195 1 272 ⏐ 통대문구 Dongdaemin Gu 31 28 5.1 34 24 - 671 6 184
면적,1973,21,2. 시ㆍ도별 면적 및 행정단위,"l.and-19 ⏐ 1. 위 ⏐ LOCATION ⏐ 경 도 Petomo o fdomaiudo crne botudce 의 극 점 ⏐ 지 명 극 점 ⏐ Name of place Extreme ⏐ 극 동 경상북도 울릉군 독도 동단 131° 52/ 42 ⏐ Eastern extremiy East extrame of Dokdo, Ulreung Gun, Gyeongsang Bue Do ⏐ 평안북도 용천군 마안도 서단 Eets longituc s 동 124° 11° 04 ⏐ West extrame of Marando, Yongcheon Gun, Pyeongan Bue Do ⏐ Suhom otrent, 남 제주도 남제주군 , 마라도. . 남단 33° 06 40% ⏐ South extreme of Marado, Namieiu Gun, Jeiu Do"
면적,1973,22,3. 구ㆍ시ㆍ군별 면적 및 행정단위,"20-토지 ⏐ 3. 구•시•군별면적 및 행정단위 ⏐ ※ 1972. 12. 31 현재 ⏐ 면적 (km3) 행 정 단 위 Administrative unit ⏐ 비 동 Dong 읍 면 리 •동 틈,부탁! 반 출장소 Branch of ⏐ 행 정 | 법성 Tong: 시 • 도구•시 •군유 • 면 ⏐ Area (sq.km) % Admins- Eub Myeon Ri,Dong village Ban Eub, ⏐ strative | Legal Province (Gu,St, Gunl Myeon ⏐ 서울특별시 City of Seoul 613.00 100.0 307 465 - - 5 533 47 782 - 8 - ⏐ 종로국 Jongro Gu 10.68 25 73 - - 265 1 916 = ⏐ 중 구 Jung Gu 6.34 21 63743 - 196 1 272 ⏐ 동대문국 Dongdaemun Gu 32.93 5.4 34 - 671 6 184 1"
면적,1974,19,2. 시ㆍ도별 면적 및 행정단위,"1. 위 치 ⏐ LOCATION ⏐ 경 의 쿠 점 ⏐ Extrema of longitude and lafifude ⏐ 극 점 ⏐ Name of place Extreme ⏐ Easonn oxtromlis Eore ye oiCOkt, JThD GT, Cyecngrang Bug De 경상북도 131° 52 42 ⏐ Nasen otent 평안북도 용천군 마안도 저단 124° 11' 0"" ⏐ west extrame of Marando, Yongcheon Gun, Pyeongan Bug Do ⏐ 제주도 • 남제주군 마라도 남단 •33°06' 40 ⏐ South exfreme of Marado, Namieiu Gun, Jeiu Do ⏐ 함경북도 온성군 유포진 북딪 43° 0' 39"""
면적,1974,20,3. 구ㆍ시ㆍ군별 면적 및 행정단위,"20--토지 ⏐ 3. 구•시•군별면적및행정단위 ⏐ X 1973년 12월 31일 현재 ⏐ 면적 (km2) 행 정 단 위 Administrattve unit ⏐ [구성비 ㅎ Dong 면 리 •동 통,부락 반 출장 소 Branch 아f ⏐ 행 정법경 시 •도7•시 • 군음 : 면 ⏐ Area (sq.km) Admini- Tong, Eub, ⏐ % stratve | Logd! Eub Myeon RI,Dong Village Ban Province (Gu,St, Gun Myeon ⏐ 서울특별시 CIty of Seoul 627.86 100.0 317 466 -1 5 598 47 321 4 ⏐ 10. 68 1:? 73 266 1 885 ⏐ 6.34 65 -… 132 1 070 ⏐ 32.22 5.1 673 5 887"
면적,1975,21,2. 시ㆍ도별 면적 및 행정단위,"Land -19 ⏐ 1. 위 치 ⏐ LOCATION ⏐ 경 도 EAteme of lergtude and laitude-= 의 극 점 ⏐ 지 명 ⏐ Name of place Extreme ⏐ Easen cxtreom), 동s 경상북도 울릉군 독도 동단 131°52'42'' ⏐ East extreme of Dokdo, Ulreung Gun, Gyeongsang Bug Do ⏐ 평안북도 • 용천군 마안도 서단 Eas 1ongiu% 124°11'0^' ⏐ West extremo of Mar ando, Yongcheon Gun,Pyeongan Bug Do ⏐ southern oxtremy 남 제주도 남제주군 마라도 33°06'40,' ⏐ Poihen otromn, 북 합경북도 온성군 유포진 북단 43°0'39'"
면적,1975,22,3. 구ㆍ시ㆍ군별 면적 및 행정 단위,"20-토지 ⏐ 3. 구•시 •군별면적및행정단위 ⏐ ※ 1974년 12월 31일 현재 ⏐ 면적 (km) 행 정 단 위 Administrative unit ⏐ 동 Dong 읍 면 리 •동/ 통,부락 반 출 장소 Branch of ⏐ Are(sa.km) 구성비 Aamnisil 정 법 정 시•도구•시• 읍•면 ⏐ Tong, 군 Gu, Eub, ⏐ rative Legal Eub | Myeon RI,Dong Village Ban Provincel Si,Gun | Myeon ⏐ 서울특별시 City of Seoul 627 86 100 0 468 5 860 49 202 ⏐ 홍로구 jo1geGu 10 68 17 73 266 1 855 ⏐ 홍대문구 Botpgeoerun Gu Jung Gu 6 34 10 65 130 1 045 ⏐ 32 22 5| 24 698 6 225"
면적,1976,19,2. 시ㆍ도별 면적 및 행정단위,"tand-17 ⏐ 1. 토 ⏐ LAND ⏐ 1. 위 ⏐ Location ⏐ 경 도 의 끅 점 ⏐ Exfreme of lonsitude and lotrude ⏐ 지 점 ⏐ Name of place Extreme ⏐ Easern ottenty 동 경상북도 . 울릉군 독도 동단 131°52'42"" ⏐ East extreme of Dokdo, Ulreung Gun, Gyeongsang Bug Do ⏐ tsem sxtecmiA 평안북도 용천군 마안도 서단 124°11'0"""
면적,1976,20,3. 구ㆍ시ㆍ군별 면적 및 행정단위,"18-토 지 ⏐ 3. 구•시•군별면적및행정단위 ⏐ ※ 1975년 12월 31일 현재 ⏐ 면 적 (km?) 행 정 단 위 Administrat,ve unit ⏐ ( 구성비 행 동 읍 면 리 • 동 통; 부탁 반 출장소Branch of ⏐ Area(sq km) Compo- 정 법 Tong, 시 •도 | 구 •시 읍 •면 ⏐ sition Admini-옓 Eob Myeon Ri, Dons Village Ban 군 Gu, l Eub, ⏐ % strative Legal Province i St, Gun Myeon ⏐ 600 39 100 0 343 471 - - 45 542 3 ⏐ 24 01 40 26 87 2 278 ⏐ ,T Jung Gu 9. 49 16 22 75 2 088 ⏐ 동대문구국 Dongdaemun Gu 33. 28 55 32 16 1 4 943"
면적,1977,19,2. 시ㆍ도별 면적 및 행정단위,"'한민국 타회 ⏐ 1. 위 치 ⏐ Location ⏐ 경 도 및 의 점 ⏐ Exireme of longitude and latirude ⏐ 지 명 극 점 ⏐ Name of place Extreme ⏐ Easen Streihy ㅎ 동 경 131°52'42"" ⏐ lreung Gur, Gyeongsang Bug | East longitude얧 ⏐ Naten otromi+ 평안북도 용천군 마안도 서디 Eest 1onaiualg 124°11'0"" ⏐ West extreme of Ma ando, Yongcheon Gur, Pyeangan Bug D. ⏐ Sushem otronih,t- 제주도 남제중군 마라도 남단 Koith Iaihusgi 33°06'40"""
