계열,판,쪽,표제목,header
광공업,1982,161,1. 시ㆍ도별 광ㆍ공업총괄,"V Mning and Manufacturing -161 ⏐ 1. 시 •도별 광 · 공업 총 괄 ⏐ Summary of M ining and Manutacturing by Province ⏐ ※ 본표계수는 광• 공업 통계조사(센서스) 결과임. ※ Data are based on the Minmg and Manufacturing Survey(Census). The ⏐ 산업상의 조사범위는 한국표준 산업분류에서 규정하는 광업과 제조업 Survey(Census) covers ndustrres cla.ssifred Into minng and manufac- ⏐ 이며 조사대상업체는 상기분류에서 정의하는 종업원수 5인이상의 광 turing accordmg to Korean Standard Industrzal Clas sificaton and ⏐ 업 및 제조업에 속하는 사업체임. mnng and manufacturing establshments with five or more workers. ⏐ 조사단위는 원칙적으로 사업체로 하였으며 사업체라함은 개개의 공 Establshnent 1s a unit of the Survey(Census). The term""establsh- ⏐ 잠, 작업장 사무소, 점포, 광산과 같이 경제활동을 영위하는 물리적 ment'is a unt engagng in industral activtes such as factory, work ⏐ 장소를 말함 ⏐ 종업원이란 사업체에 상시 고용되어 있는 자와 임시종업원 및 기타 Employees are workers who are remunerated ⏐ 종업원을 말함 wages and salares, whether they are permanent, temporary or ca-"
광공업,1983,161,1. 시ㆍ도별 광ㆍ공업 총괄,"V Mning and Manutacturing - 161 ⏐ 1. 시 •도 별 광 •공업 총괄 ⏐ Summary of M ining and Manufacturing by Province ⏐ ※ 본표계수는 광 • 공업 통계조사(센서스) 결과임. ※ Data are based on the Mining and Manufacturing Survey (Census) The ⏐ 산업상의 조사범위는 한국표준 산업분류에서 규정하는 광업과 제조업 Survey (Census) covers ndustrles classtfed into minng and manufac- ⏐ 이며 조사대상업체는 상기분류에서 정의하는 종업원수 5 인이상의 turing accordng to Korean Standard Industrial Classificaton and the ⏐ 업및 제조업에 속하는 사업체임 mning and manufacturing establshments with fve or more workers ⏐ 조사단위는 원칙적으로 사업체로 하였으며 사업체라함은 개개의 공 Establshment is a unit of the Survey(Census) The term""estabhsh- ⏐ 정소잘 만한 작업장 사무소, 점포, 광산과 같이 경제활동을 영위하는 물리적 ment""is a unit engaging in mdustral actntes such as factory, work ⏐ Emplovses are workers who are remunerated ⏐ 종업원이란 사업체에 상시 고용되어 있는 자와 임사종업원 및 기타 wages and salares, whether they are permanent, temporary or ca- ⏐ 종업원을 말함 sual dally workers and whether they work in factores or n their home"
광공업,1984,153,1. 시ㆍ도별 광ㆍ공업 총괄,"v. Mining and Manufacturing -153 ⏐ 1. 시 •도별 광 • 공업 총괄 ⏐ Summary of M ining and Manufacturing by Province ⏐ ※ 본표계수는 광• 공업 통계조사(센서스) 결과임. ※ Data are based on the Miring and Manufacturmg Survey(Census). Thes ⏐ 산업상의, 조사범위는 한국표준 산업분류에서 규정하는 광업과 제조업 Survey(Census) cover's mndustres classifred nto mning and manufac- ⏐ 이며 조사대상업체는 상기분류에서 정의하는 종업원수 5 인이상으 turing according to Korean Standard Industrial Classficaton and the ⏐ 업 및 제조업에 속하는 사업체임. mning and manufacturmg estabishments with five or more workers. ⏐ 초사담의는 사지지 로사 업계로 한여 명게 사용계 리하 건거입니 회 Estabhshment is a unut of the Survey (Census)• The term""estabhsh- ⏐ ment'""ts a unt engagng n mdustrlal actvtes such as factory, work ⏐ 종업원이란 사업체에 상시 고용되어 있는 자와 임시종업원 및 기타 shop oftce and mne. Employees are workers who are remunerated ⏐ wages and salaries, whether they are permanent, temporary or Ca- ⏐ 종업원을 말함 sual daly workers and whether they work n factores or mn their home."
광공업,1985,153,1. 시ㆍ도별 광ㆍ공업총괄,"V Mining and Manufacturing - 153 ⏐ 1. 시 •도별 광 • 공업총 괄 ⏐ Summary of M ining and Manufacturing by Province ⏐ ※ 본표계수는 광• 공업 통계조사(센서스)결과임. ※ Data are based on the Munng and Manufacturig Survey(Census) The ⏐ 산업상의 조사범위는 한국표준 산업분류에서 규정하는 광업과 제조업 Survey(Census) covers industrres classtfed mto mrung and manufac- ⏐ 이며 조사대상업체는 상기분류에서 정의하는 종업원수 5인이상으 turing accordng to Korean Standard Industral Classifcaton and ⏐ 업 및 제조업에 속하는 사업체임, mnng and manufacturmg estabhshments with five or more workers. ⏐ 조사단위는 원칙적으로 사업체로 하였으며 사업체라함은 개개의 공 Establlshment Is a unit of the Survey(Census) ⏐ 사무소, 점포, 광산과 같이 경제활동을 영위하는 물리적 ment""ic a unit engaging in mdustrral actvtes such as factory, work ⏐ shop offce and mine Emplovses are workers who are remunerated ⏐ 종업원이란, 사업체에 상시 고용되어 있는 자와 임시종업원 및 기타 wages and salanes, whether they are permanemt, temporary or ca- ⏐ 종업원을 말함 sual danly workers and whether they work In factores or ir their home"
광공업,1985,154,2. 산업 및 연도별 광ㆍ공업총괄,"154- V 광 공업 ⏐ 2. 산업및 연도별광 · 공업총 괄 ⏐ 산위 고명북 #준인 ⏐ 총 계 광 업 Mning 제 ⏐ 음식료줌및 섬유, 의복및 ⏐ 계 석 탄 금 속 기 타 계 담 배 가 숙 ⏐ Textle, ⏐ Total Food, wearing얧 ⏐ Sub-total Coal Metal ore Others Sub- total beverages apparel and ⏐ and tobacco leather쵸 ⏐ 사업 체 수 ⏐ 1978 3L 701 1 837 209 66 1 562 29 864 4 448 7 990"
광공업,1986,157,1. 시ㆍ도별 광ㆍ공업 총괄,"V. Mning and Manufacturing - 157 ⏐ 1. 시 •도별 광• 공업 총 괄 ⏐ Summary of Mining and Manufacturing by Province ⏐ ※ 본료계수는 광 •공업 통계조사(센서스) 결과임 ※ Data are based on the Minmg and Manufacturing Survey (Census). The ⏐ 산업상의 조사범위는 한국표춘 산업분류에서 규정하는 광업과 제조업 Survey (Census) covers ndustrles cla.ssifred nto mining and manufac- ⏐ 이며 조사대상업체는 상기분류에서 정의하는 종업원수 5 인이상의 광 turing accordng to Korean Standard Industral Clas srfcaton and ⏐ 업 및 제조업에 속하는 사업체임, mmning and manufacturing establshments with five or more workers. ⏐ {사다위는 원칙적으로 시업체로 하였으며 사업체라함은 개개의 공 Estabhshment is a unt of the Survey(Census)• The term ""establish- ⏐ 잠, 작업장 사무소, 점포, 광산과 같이 경제활동을 영의하는 물리즈 meat""is a unt engagng in idustrral actintes such as factory, Work ⏐ 장소를 말함 • shop otfce and mine. Employees are workers who are remunerated ⏐ 종업원이란 사업체에 상시 고용되어 있는 자와 임시종업원 및 기타 wages and salares, whether they are permanent, temporary or ca- ⏐ 종업원을 말함 sual danly workers and whether they work in factorres or in thesr home."
광공업,1986,158,2. 산업 및 연도별 광ㆍ공업 총괄,"158 - V 광• 공업 ⏐ 2. 산업및 연도별광 • 공업총괄 ⏐ 단위 표금약-확만 ⏐ 금액 - 백만원 ⏐ 총 계 광업 Mnng 제 ⏐ 음식료품및 사유, 의부특 ⏐ 계 석탄 금 속 기 타 계 담 배 ⏐ Textle, ⏐ Total Food, wearing ⏐ Sub- total Coal Metal ore Others Sub- total beverages apparel and ⏐ and tobacco leather ⏐ 사 업 체 수"
광공업,1987,157,1. 시ㆍ도별 광ㆍ공업 총괄,"V. Mining and Manufacturing - 157 ⏐ 1. 시 •도 별 광 • 공업 총 괄 ⏐ Summary of M ining and Manufacturing by Province ⏐ ※ 본표계수는 광• 공업 통계조사(센서스) 결과임. ※ Data are based on the Miing and Manufacturang Survey (Census). The ⏐ 산업상의 조사범위는 한국표준 산업분류에서 규정하는 광업과 제조업 Survey(Census) covers Industres classufed into mrung and manutac- ⏐ 이며 조사대상업체는 상기분류에서 정의하는 종업원수 5 인이상의 turing accordng to Korean Standard Industrtal Classifrcaton and ⏐ 업 및 제조업에 속하는 사업체임. munng and manutacturmg establishments with ive or more workers. ⏐ 조사단위는 원칙적으로 사업체로 하였으며 사업체라함은 개개의 공 Estabhshment Is a umt of the Survey(Census). The term'establsh- ⏐ 잠, 작업장 사무소, 점포, 광산과 같이 경제활동을 영위하는 물리점 ment""is a unt engagung in mdustral actrytes such as factory, work ⏐ 장소를 말함 Employees are workers who are remunerated ⏐ 종업원이란 사업체에 상시 고용되어 있는 자와 임시종업원 및 기타 wages and salares, whether they are permanent, temporary or cashal ⏐ 종업원을 말함 daly workers and whether they work m factomes or In their home."
광공업,1987,158,2. 산업 및 연도별 광ㆍ공업 총괄,"158 - V 광 공업 ⏐ 2.산업 및 연도별광 • 공업총괄 ⏐ ※.1 표명문 참족 ⏐ 단위 , 금액- 백만원 ⏐ 총 계 광 업 Mnng 제 ⏐ 음식료품및 섬유, 의복및 ⏐ 계 석 탄 금 속 기 타 계 담 배 가 죽 ⏐ Textle, ⏐ Total Food, wearing ⏐ Sub-total Coal Metal ore Other s Sub- total beverages and tobacco apparel anc ⏐ leather ⏐ 사 업 체"
광공업,1988,157,1. 시ㆍ도별 광ㆍ공업 총괄,"V. Mining and Manufacturing - 157 ⏐ 1. 시 •도별 광•공업총괄 ⏐ Summary of M ining and Manufacturing by Province ⏐ ※ 본표계수는 광•공업 통계조사(센서스) 결과임. ※ Data are based on the Mng and Manutacturing Survey(Census).The ⏐ 사업사네장사시원 능각공류에 사업부하에상과전하는편여자계조영 Survey(Census) covers Idustres classfed nnto mning and manufac- ⏐ 이면 조사대상업체는 상기분류에서 정의하는 총업원수 5 인이상의 turmg accordng to Korean Standard Industral Classifcaton and ⏐ 업 및 제조업에 속하는 사업체임. mnng and manufacturing estabhshments with five or more workers. ⏐ •각당으: 사무스 지고사영제로 하여 경제살용제라 위게 개위] 국 Establishment Is a unt of the Survey(Census). The term""estabhsh- ⏐ 사무소, 점포, ment""is a unlt engaging in mdustrral actvtes such as factory, work ⏐ 장소를 말함 Lmployees are workers who are remunerated ⏐ 동업원이란 사업체에 상시 고용되어 있는 자와 임시종업원 및 기타 wages and salares, whether they are permanent, temporary or casual ⏐ 종업원을 말함 dally workers and whether they work m factories or in their home."
광공업,1988,158,2. 산업 및 연도별 광ㆍ공업 총괄,"158 - V. 광•공업 ⏐ 2. 산업 및 연도 별광 · 공업총 괄 ⏐ ※1표명문 참족 ⏐ 단위: 금액- 백만원 ⏐ 총 계 광 업 Mining 제 ⏐ 음식료품및 섬유, 의복및 ⏐ 계 석 탄 금속 기 타 계 담 배 가 죽 ⏐ Textle, ⏐ Total Food, wearmg ⏐ Sub-total Coal Metal ore Others Sub-total beverages apparel and ⏐ and tobacco leather ⏐ 사 업 체 수"
