연도,국가,국가코드,1인당GDP_2015불변USD,지표코드,source_url,retrieved
1986,한국,KOR,6740.69941617276,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1987,한국,KOR,7535.12660432782,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1988,한국,KOR,8367.04656522944,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1989,한국,KOR,8878.29655251462,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1990,한국,KOR,9672.57845182894,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1991,한국,KOR,10618.8431439122,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1992,한국,KOR,11176.560685871,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1993,한국,KOR,11837.4692053797,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1994,한국,KOR,12817.2447824958,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1995,한국,KOR,13924.3044000347,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1996,한국,KOR,14894.3278834104,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1997,한국,KOR,15682.2717905189,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1998,한국,KOR,14800.5091573641,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1999,한국,KOR,16402.9168341094,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2000,한국,KOR,17763.1353417297,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2001,한국,KOR,18460.4288193829,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2002,한국,KOR,19775.3800655139,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2003,한국,KOR,20278.0406421178,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2004,한국,KOR,21244.8136800528,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2005,한국,KOR,22123.7613066851,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2006,한국,KOR,23162.1860111297,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2007,한국,KOR,24391.7651013448,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2008,한국,KOR,24934.5396367691,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2009,한국,KOR,25009.9148311999,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2010,한국,KOR,26623.0487122927,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2011,한국,KOR,27393.455357272,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2012,한국,KOR,27944.0564190045,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2013,한국,KOR,28732.711152033,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2014,한국,KOR,29470.6732991655,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2015,한국,KOR,30171.7906545222,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2016,한국,KOR,31005.4072876388,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2017,한국,KOR,31979.9027302467,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2018,한국,KOR,32852.8887488942,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2019,한국,KOR,33496.3113815643,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2020,한국,KOR,33215.9298928108,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2021,한국,KOR,34792.9397214598,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
