연도,국가,국가코드,합계출산율_명,지표코드,source_url,retrieved
1987,한국,KOR,1.53,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1988,한국,KOR,1.55,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1989,한국,KOR,1.56,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1990,한국,KOR,1.57,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1991,한국,KOR,1.71,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1992,한국,KOR,1.76,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1993,한국,KOR,1.654,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1994,한국,KOR,1.656,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1995,한국,KOR,1.634,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1996,한국,KOR,1.574,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1997,한국,KOR,1.537,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1998,한국,KOR,1.464,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1999,한국,KOR,1.425,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2000,한국,KOR,1.48,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2001,한국,KOR,1.309,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2002,한국,KOR,1.178,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2003,한국,KOR,1.191,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2004,한국,KOR,1.164,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2005,한국,KOR,1.085,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2006,한국,KOR,1.132,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2007,한국,KOR,1.259,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2008,한국,KOR,1.192,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2009,한국,KOR,1.149,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2010,한국,KOR,1.226,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2011,한국,KOR,1.244,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2012,한국,KOR,1.297,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2013,한국,KOR,1.187,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2014,한국,KOR,1.205,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2015,한국,KOR,1.239,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2016,한국,KOR,1.172,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2017,한국,KOR,1.052,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2018,한국,KOR,0.977,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2019,한국,KOR,0.918,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2020,한국,KOR,0.837,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2021,한국,KOR,0.808,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2022,한국,KOR,0.778,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2023,한국,KOR,0.721,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2024,한국,KOR,0.748,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1960,일본,JPN,2,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1961,일본,JPN,1.96,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1962,일본,JPN,1.98,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1963,일본,JPN,2,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
