series,edition,page,table,header
금융,1961,314,253. 금융기관 도별 예금 및 대출금,294 쇼 제4 ⏐ 252 * * 내 쇼 3m 백 주 (-#었7) ⏐ MONTHLY TURNOVER RATES OF DEMAND DEPOSITS ⏐ 모선때: 표째 In milions of hwan ⏐ 요 슴 ⏐ Total ⏐ 슈A # ⏐ During of Wois(A) |balance(B) wls(a) baiancs(B) (A/B) ⏐ wals(A) |balance(B)/ wals(A) (balance(B)| ⏐ 119$6 169 650 15 225 11.1 37629 14 937 2.5 99199 7 563 13.1 306 477 37 726 8.1 ⏐ 21957 183 921 16 295 11.3 51 384 21 406 2.4 126 044 9 519 13.2 36| 349 47 219 7.6 ⏐ 1)1958 199 170 18797 10.6 70 261 33 236 2.1 148 080 12 101 12.2 417 510 64 134 6.5
금융,1961,315,254. 금융기관 주요도시별 예금 및 대출금,"Money and Banking 295 ⏐ 254 쇼#소핏카메표숲및 살버쇼"" ⏐ DEPOSITS AND LOANS OF BANKING INSTITUTIONS IN PRINCIPAL CITIES ⏐ In millions of hoan ⏐ 쇽 서 울 ㄷ * ㅊ ㅊ # 숲 "" ⏐ Year Total value옓 Seoul Incheon Busan Daegu Daejeon Mokpo Cheongiu Gwangiu Jeoniu Chuncheon ⏐ 숲 Deposits ⏐ 4 505 423 63 98 132 144 ⏐ 9 163 4 385 113 144 282 253 ⏐ 19 475 10 042 249 335 514 359 ⏐ 34 335 18 958 317 717 955 509 ⏐ 56 886 34 064 531 1 100 1 498 951 593"
금융,1962,298,248. 금융기관 도별예금 및 대출금,"280 소 통복 ⏐ 248 쇼 배비쇼 및 살버숲 ⏐ DEPOSITS AND LOANS OF BANKING INSIITUTIONS BY PROVINCES ⏐ In billions of hwen ⏐ Year Total value Gyeong-gi Gang-weon | Chung-bug Chung-nam Gyeong-bug Gyeong-nam Je, ⏐ 숲 ⏐ 1952 5.9 0.4 0.3 0.3 0.8 3.0 0.06 ⏐ 1953 10.6 0.6 0.4 0.5 1.0 2.8 0.08 ⏐ 1954 26.2 1.3 1.2 1.7 2.9 6.1 0.1 ⏐ 1955 46.2 2.5 1.8 2.7 4.9 10.6 0.2 ⏐ 1956 74.9 2.7 3.7 7.5 15.3 0.3 ⏐ 1957 80.8 2.6 3.7 +7.3 14.6 0.4"
금융,1962,298,249. 금융기관 주요도시별 예금 및 대출금,"280 소 통복 ⏐ 248 쇼 배비쇼 및 살버숲 ⏐ DEPOSITS AND LOANS OF BANKING INSIITUTIONS BY PROVINCES ⏐ In billions of hwen ⏐ Year Total value Gyeong-gi Gang-weon | Chung-bug Chung-nam Gyeong-bug Gyeong-nam Je, ⏐ 숲 ⏐ 1952 5.9 0.4 0.3 0.3 0.8 3.0 0.06 ⏐ 1953 10.6 0.6 0.4 0.5 1.0 2.8 0.08 ⏐ 1954 26.2 1.3 1.2 1.7 2.9 6.1 0.1 ⏐ 1955 46.2 2.5 1.8 2.7 4.9 10.6 0.2 ⏐ 1956 74.9 2.7 3.7 7.5 15.3 0.3 ⏐ 1957 80.8 2.6 3.7 +7.3 14.6 0.4"
금융,1963,339,250. 금융기관도별 예금 및 대출금,Money and Bankmg 321 ⏐ 250 ⏐ DEPOSITS AND LOANS OF BANKING INSTITUTIONS BY PROVINCE ⏐ In millton wo% ⏐ 슈비 서 울 차 ㅍ # ⏐ Year Total value Seoul Gyeong gi Gang-weon Chung bug Chung nam Jeon bug Jeon nam Eyeong bug Gyeong nam du ⏐ 숲 Deposits ⏐ 1952 594 42 38 10 20 37 30 3? 82 299 ⏐ 1953 1 055 439 39 18 23 56 43 46 102 282 ⏐ 1954 2 618 1 004 146 64 74 134 121 165 291 606 14 ⏐ 1955 4 624 1 8% 219 103 137 253 181 266 487 1 060 23 ⏐ 1956 7 494 3 406 386 159 221 377 273 367 748 1 528 31
금융,1963,339,251. 금융기관 주요도시별 예금 및 대출금,Money and Bankmg 321 ⏐ 250 ⏐ DEPOSITS AND LOANS OF BANKING INSTITUTIONS BY PROVINCE ⏐ In millton wo% ⏐ 슈비 서 울 차 ㅍ # ⏐ Year Total value Seoul Gyeong gi Gang-weon Chung bug Chung nam Jeon bug Jeon nam Eyeong bug Gyeong nam du ⏐ 숲 Deposits ⏐ 1952 594 42 38 10 20 37 30 3? 82 299 ⏐ 1953 1 055 439 39 18 23 56 43 46 102 282 ⏐ 1954 2 618 1 004 146 64 74 134 121 165 291 606 14 ⏐ 1955 4 624 1 8% 219 103 137 253 181 266 487 1 060 23 ⏐ 1956 7 494 3 406 386 159 221 377 273 367 748 1 528 31
금융,1964,335,240. 금융기관 도별예금 및 대출금,"Money and Banking 317 ⏐ 240 소류보서 미T숲 및 샐내숲 ⏐ DEPOSITS AND LOANS OF BANKING INSTITUTIONS BY PROVINCES ⏐ 부요, 또폐원 In miltion won ⏐ #ㅮ #홍 서 울 쑈 도차 흡는 ㄿ # 또쫘 숲. # 뜻하예로 ⏐ year Total valve Seoul Buson Gyeong-gl Gang-weon Chung-bug Chung-nam| Jeon-bug Jeon-nam Gyeong-bug Gyeong-nam듏 Jeru ⏐ 숲 Deposits ⏐ 1952 594 42 38 10 20 37 30 32 82 299 ⏐ 1953 1 055 439 39 18 23 56 43 46 102 282 ⏐ 1954 2 618 1 004 146 64 74 134 121 165 291 606 ⏐ 1955 4 624 1 896 219 103 137 253 181 266 487 1 060 23 ⏐ 1956 7 494 3 406 386 159 221 377 273 367 748 1 528 31"
금융,1964,335,241. 금융기관 주요도시별 예금 및 대출금,"Money and Banking 317 ⏐ 240 소류보서 미T숲 및 샐내숲 ⏐ DEPOSITS AND LOANS OF BANKING INSTITUTIONS BY PROVINCES ⏐ 부요, 또폐원 In miltion won ⏐ #ㅮ #홍 서 울 쑈 도차 흡는 ㄿ # 또쫘 숲. # 뜻하예로 ⏐ year Total valve Seoul Buson Gyeong-gl Gang-weon Chung-bug Chung-nam| Jeon-bug Jeon-nam Gyeong-bug Gyeong-nam듏 Jeru ⏐ 숲 Deposits ⏐ 1952 594 42 38 10 20 37 30 32 82 299 ⏐ 1953 1 055 439 39 18 23 56 43 46 102 282 ⏐ 1954 2 618 1 004 146 64 74 134 121 165 291 606 ⏐ 1955 4 624 1 896 219 103 137 253 181 266 487 1 060 23 ⏐ 1956 7 494 3 406 386 159 221 377 273 367 748 1 528 31"
금융,1965,335,257. 금융기관 도별 예금 및 대출금,Money and Banking 317 ⏐ 257. 소 비주숲 및 앞비숲 ⏐ DEPOSITS AND LOANS OF BANKING INSTITUTIONS BY PROVINCES ⏐ 1소 : 대항선 In million Ko ⏐ 서 도 # 숲짧 ⏐ End of yasr Totol valve Seoul Buyan Gysong-gi Gong.wean Chung-nom Jean•bug Jeon-mnom Gynong-bug Gyeong-nom seiu ⏐ 요 Deposih ⏐ 1952 594 42 - 38 20 37 30 32 82 299 ⏐ 1953 1 0$5 439 39 23 $6 43 46 102 282 ⏐ 1954 2 618 1 004 146 74 134 121 165 291 606 ⏐ 1955 4 624 1 896 219 253 181 266 487 1 080 ⏐ 1956 7 494 3 406 386 377 273 367 748 ! $28
금융,1965,335,258. 금융기관 주요도시별 예금 및 대출금,Money and Banking 317 ⏐ 257. 소 비주숲 및 앞비숲 ⏐ DEPOSITS AND LOANS OF BANKING INSTITUTIONS BY PROVINCES ⏐ 1소 : 대항선 In million Ko ⏐ 서 도 # 숲짧 ⏐ End of yasr Totol valve Seoul Buyan Gysong-gi Gong.wean Chung-nom Jean•bug Jeon-mnom Gynong-bug Gyeong-nom seiu ⏐ 요 Deposih ⏐ 1952 594 42 - 38 20 37 30 32 82 299 ⏐ 1953 1 0$5 439 39 23 $6 43 46 102 282 ⏐ 1954 2 618 1 004 146 74 134 121 165 291 606 ⏐ 1955 4 624 1 896 219 253 181 266 487 1 080 ⏐ 1956 7 494 3 406 386 377 273 367 748 ! $28
