계열,판,쪽,표제목,header
지가,2006,670,23. 시도별 지가 변동률(평균),668 - XIIL. 물가 및 가계 ⏐ 23. 시도별 지가 변동률(평균) ⏐ Fluctuation Rate of Land Price by Province (Average) ⏐ 단위 : % In percentage얧 ⏐ 전국 대도시 시지역군지역 서 울 부 산 대 구 인천 광주 대 전 ⏐ Metro. ⏐ The nation cities All cities All counties Seoul Busan Daegu Incheon Gwangjiu Daejeon ⏐ 1998 ~13.60 -15.33 -12.15 -8.85 -16.25 -16.52 -15.24 -13.79 -10.25 -8.36 ⏐ 1999 2.94 2.26 3.50 4.59 2.66 1.24 1.93 3.51 1.30 0.38 ⏐ 2000 0.67 -0.09 1.49 1.73 0.05 -0.53 -1.05 1.07 -0.31 -0.24 ⏐ 2001 1.32 1.36 1:8 0.49 1.89 0.49 0.42 1.77 -0.37 1.00 ⏐ 2002 8.98 10.79 3.20 15.81 3.28 2.09 11.51 1.03 3.24
지가,2007,708,34. 시도별 지가 변동률(평균),710 - XIII. 물가 및 가계 ⏐ 34. 시도별 지가 변동률(평균) ⏐ Fluctuation Rate of Land Price by Province (Average) ⏐ 단위 : % In percentage ⏐ 전국 대도시 시지역 군지역 서 울 부 산 대구 인천 광 주 대 전 ⏐ The nation Metro. cities All cities All counties Seoul Busan Daegu Incheon Gwangju Daejeon ⏐ 1985 7.80 6.50 6.90 8. 10 8.70 6.60 4. 80 1.80 17.00 ⏐ 1986 6.40 7.80 7.40 3.70 9. 90 5.40 6.50 4.50 11.10 ⏐ 1987 13.91 15.79 12.01 6.29 46.50 57.68 6.90 19.53 3.60 ⏐ 1988 29.47 22. 54 24.59\ 28.06 35.25 38.17 16.11 59. 98 16.48 ⏐ 1989 31.95 38.29 22.52 33.54 17.49 35. 15 46. 72 42. 99 20.83 ⏐ 1990 26. 97 18. 60 12.20 31. 18 15. 82 27.42\ 29. 14 22.43 17.89
지가,2008,712,34. 시도별 지가 변동률(평균),708 - XIII. 물가 및 가계 ⏐ 34. 시도별 지가 변동률(평균) ⏐ Fluctuation Rate of Land Price by Province (Average) ⏐ 단위 : % In percent ⏐ 전국 대도시 시지역 군지역 서 울 부 산 대구 인천 광주 대 전 ⏐ The nation Metro. cities All cities All counties Seoul Busan Daegu Incheon Gwangju Daejeon ⏐ 7.30 6.40 7.80 7.40 3.70 9.90 5.40 6.50 4.50 11. 10 ⏐ 14.67 13.91 15.79 12.01 6.29 46.50 57.68 6.90 19.53 3.60 ⏐ 27.47 29.47 22.54 24. 59 28.06 35.25 38.17 16.11 59. 98 16.48 ⏐ 31.97 31.95 38.29 22.52 33.54 17.49 35.15 46.72 42. 99 20.83 ⏐ 20.58 26.97 18.60 12.20 31.18 15.82 27.42 29. 14 22.43\ 17.89 ⏐ 12.78 13.46 13.69 10. 19 11. 15 14.69 13.74 22. 81 16.50 23.25
지가,2009,742,34. 시도별 지가 변동률(평균),738 - XIII. 물가 및 가계 ⏐ 34. 시도별 지가 변동률(평균) ⏐ Fluctuation Rate of Land Price by Province (Average) ⏐ 단위 : % In percent ⏐ 전국 대도시 시지역 군지역 서 울 부 산 대구 인천 광주 대 전 ⏐ The nation Metro. cities All cities All counties Seoul Busan Daegu Incheon Gwangju Daejeon ⏐ 14.67 13.91 15.79 12.01 6.29 46.50 57.68 6.90 19.53 3.60 ⏐ 27.47 29.47 22.54 24.59\ 28.06 35.25 38.17 16.11 59. 98 16.48 ⏐ 31.97 31.95 38.29 22.52 33.54 17.49 35. 15 46.72 42. 99 20.83 ⏐ 20.58 26.97 18. 60 12.20 31. 18 15.82 27.42\ 29. 14 22.43 1789 ⏐ 12.78 13.46 13.69 10. 19 11.15 14.69 13.74 22. 81 16.50 23.25 ⏐ -1.27 -2.59 0.18 0.46 -2.78 -1.57 -2.61 0.11 -0. 33 -9.35
지가,2010,756,34. 시도별 지가 변동률(평균),752 - XIII. 물가 및 가계 ⏐ 34. 시도별 지가 변동률(평균) ⏐ Floating Rate of Land Price by Province(Average) ⏐ 단위 : % In percent ⏐ 전국 대도시 시지역 군지역 서울 부산 대구 인천 광주 대 전 ⏐ The nation Metro. cities All cities All Counties Seoul Busan Daegu Incheon Gwangju Daejeon ⏐ 1988 27.47 29.47 22.54 24. 59 28. 06 35.25 38.17 16.11 59. 98 16.48 ⏐ 1989 31.97 31.95 38.29 22.52 33.54 17.49 35. 15 46.72 42. 99 20.83 ⏐ 1990 20.58 26.97 18.60 12.20 31.18 15.82 27.42 29. 14 22.43\ 17.89 ⏐ 1991 12.78 13.46 13.69 10. 19 11. 15 14.69 13.74 22.81 16.50 23.25 ⏐ 1992 - 1. 27 -2.59 0. 18 0.46 -2.78 -1.57 -2.61 0.1 -0. 33 -9.35 ⏐ 1993 - 7.38 -8.05 -6.58 -6.62 -8. 72 -6. 77 -7.ㄲ -6. 62 -6.36 -7.81
지가,2011,764,34. 시도별 지가 변동률(평균),760 - XIII. 물가 및 가계 ⏐ 34. 시도별 지가 변동률(평균) ⏐ Floating Rate of Land Price by Province(Average) ⏐ 단위 : % In percent ⏐ 전국 대도시 시지역 군지역 서 울 부산 대구 인천 광 주 대전 _ ⏐ Whole country Metro. cities All cities All counties Daegu Incheon Gwangju Daejeon ⏐ 1989 22.52 46.72 42.99 ⏐ 1990 12.20 29.14 22.43 ⏐ 1991 10.19 22.81 16.50 ⏐ 1992 0.46 0.11 -0.33 ⏐ 1993 -6.62 -6.62 -6.36 ⏐ 1994 -.18 0.07 -0.26
지가,2013,764,34. 시도별 지가 변동률(평균),760 - XI. 물가 및 가계 ⏐ 34. 시도별 지가 변동률(평균) ⏐ Floating Rate of Land Price by Province(Average) ⏐ 단위 : % In Percent ⏐ 전국 대도시 시지역 군지역 서울 부 산 대 구 인 천 광주 대 전 ⏐ Whole county Metro.city All city Rural area Seoul Busan Daegu Incheon Gwangju Daejeon ⏐ 10.19 11.15 14.69 13.74 16.50 23.25 ⏐ 0.46 -2.78 -1.57 -2.61 -0.33 -9.35 ⏐ -6.62 -8.72 -6.77 -7.77 -6.36 -7.81 ⏐ -0.18 -1.36 -0.35 0.87 -0.26 -0.59 ⏐ 1.08 0.18 0.14 1.27 1.44 -0.47 ⏐ 0.98 0.94 0.40 1.09 1.16 0.16
지가,2014,764,34. 시도별 지가 변동률(평균),760 - XII. 물가 및 가계 ⏐ 34. 시도별 지가 변동률(평균) ⏐ Change of Land Price by Province(Average) ⏐ 단위: % ⏐ 전국 대도시 시지역 군지역 서 울 부산 대 구 인천 광 주 ⏐ Whole county Metro cities All cities Rural area Seoul Busan Daegu Incheon Giwangju ⏐ 1992 -2.59 0.11 -0.33 -9.35 ⏐ 1993 -8.05 -6.62 -6.36 -7.81\ ⏐ 1994 -0.83 0.07 -0.26 -0.59 ⏐ 1995 0.34 0.58 1.44 -0.47 ⏐ 1996 0.84 0.78 1.16 0.16 ⏐ 1997 0.02 0.28 0.67 0.13
지가,2015,345,34.시도별 지가 변동률(평균),342 - III. 물가• 가계 ⏐ 34. 시도별 지가 변동률(평균) ⏐ Change of Land Price by Province (Average) ⏐ 단위: % In percent ⏐ 전국 대 도시 시지역 군지역 수도권 지방권 서울 부산 대 구 인천 광 주 ⏐ Seoul ⏐ Whole metropolitan ⏐ countty Metro cities All cities Rural area area Regional area Seoul Busan Daegu Incheon Gwangju ⏐ 1994 -0.57 -0. 83 -0. 35 -0.18 : -1. 36 -0. 35 0.87 0.07 -0.26 ⏐ 1995 0.55 0.34 0.67 1. 08 : 0. 18 0. 14 1.27 0.58 1.44 ⏐ 1996 0.95 0.84 1.12 0.98 0.94 0.40 1.09 0.78 1.16 ⏐ 1997 0.31 0. 02 0.68 0.81 •.. 0.29 -0. 90 -0.거 0.28 0.67
지가,2016,351,34.시도별 지가 변동률(평균),348- III. 물가• 가계 ⏐ 34. 시도별 지가 변동률(평균) ⏐ Change of Land Price by Province (Average) ⏐ 단위: % In percent ⏐ 전국 대도시 시지역 군지역 수도권 지 방권 서 울 부산 대구 인천 광 주 ⏐ Seoul ⏐ Whole mnetropolitan ⏐ countty Metro cities All cities Rural area area Regional area Seoul Busan Daegu Incheon Giwangju ⏐ 1995 0.55 0. 34 0.67 1. 08 •• • 0. 18 0. 14 1.27 0.58 1.44 ⏐ 1996 0.95 0.84 1. 12 0.98 0.94 0.40 1.09 0.78 1. 16 ⏐ 1997 0.31 0.02 0.68 0.81 0.29 -0. 90 -0.거 0.28 0.67 ⏐ 1998 - 13.60 - 15.33 - 12. 15 ••. - 16.25 - 16. 52 - 15. 24 - 13.79 - 10.25
지가,2017,223,14.시도별 지가 변동률(평균),220 - III. 물가 가계 ⏐ 14. 시도별 지가 변동률(평균) ⏐ 단위: % ⏐ 전국 대도시 시지역 군지역 수도권 지방권 서울 부산 대 구 인천 광주 ⏐ Seoul. ⏐ Whole metropolitan Regional ⏐ country Metro cities All cities Rural area Seoul Busan Daegu Incheon Gwangju ⏐ 1996 0.95 0. 84 1. 12 0.98 - 0. 94 0. 40 1. 09 0.78 1. 16 ⏐ 1997 0.31 0. 02 0. 68 0.81 - 0. 29 - 0. 90 - 0. 71 0.28 0. 67 ⏐ 1998 - 13. 60 - 15. 33 - 12. 15 - 8.85 - - 16. 25 - 16. 52 - 15. 24 - 13. 79 - 10. 25 ⏐ 1999 2.94 2.26 3. 50 4.59 - 2.66 1.24 1. 93 3. 51 1. 30 ⏐ 2000 0.67 - 0. 09 1.49 1.?3 - - 0. 05 - 0. 53 - 1. 05 1.07 - 0. 31
지가,2018,207,14.시도별 지가 변동률(평균),204 - III. 물가 가계 ⏐ 14. 시도별 지가 변동률(평균) ⏐ 단위: % ⏐ 전국 대도시 시지역 군지역 수도권 지방권 서울 부산 대 구 인천 광주 ⏐ Seoul. ⏐ Whole metropolitan Regjional ⏐ country Metro cities All cities Rural area Seoul Busan Daegu Incheon Gwangju ⏐ 1997 0.31 0. 02 0. 68 0.81 - 0.29 - 0. 90 - 0. 71 0.28 0. 67 ⏐ 1998 - 13. 60 - 15. 33 - 12. 15 - 8.85 - - 16. 25 - 16. 52 - 15. 24 - 13. 79 - 10.25 ⏐ 1999 2.94 2.26 3. 50 4. 59 - 2.66 1. 24 1. 93 3.51 1. 30 ⏐ 2000 0.67 - 0. 09 1. 49 1.73 - 0. 05 - 0. 53 - 1. 05 1.07 -0. 31 ⏐ 2001 1.32 1.36 1.53 0.49 - - 1.89 0. 49 0. 42 1.ㄲ -0. 37
지가,2019,207,13. 시도별 지가 변동률(평균),204 - III. 물가• 가계 ⏐ 13. 시도별 지가 변동률(평균) ⏐ 단위: % ⏐ 전국 대도시 시지역 군지역 수도권 지방권 서울 부산 대 구 인천 광주 ⏐ Seoul. ⏐ Whole metropolitan Regjional ⏐ country Metro cities All cities Rural area Seoul Busan Daegu Incheon Gwangju ⏐ 1998 - 13. 60 - 15. 33 - 12. 15 -8.85 - - 16.25 - 16. 52 - 15. 24 - 13. 79 - 10. 25 ⏐ 1999 2. 94 2.26 3. 50 4. 59 - 2.66 1.24 1. 93 3. 51 1. 30 ⏐ 2000 0. 67 - 0. 09 1.49 1.?3 - 0. 05 - 0. 53 - 1. 05 1.07 - 0. 31 ⏐ 2001 1.32 1. 36 1.53 0.49 - 1.89 0. 49 0.42 ㅓ.ㄲ -0. 37 ⏐ 2002 8.98 10.79 7.84 3.20 - - 15.81 3. 28 2. 09 11.51 1.03
지가,2020,109,5. 시도별 지가 변동률(평균),106- I. 국토/인구/가구 ⏐ 5. 시도별 지가 변동률(평균) ⏐ 단위: % ⏐ 전국 수도권 지 방 대도시 시지역 군지역 서울 부산 대 구 인천 광주 ⏐ Whole metropolitan ⏐ country ..cd Metro cities All cities Rural area Seoul Busan Daegu Incheon Gwangju ⏐ 1999 2.94 - 2.66 1.24 1. 93 3.51 1. 30 ⏐ 2000 0.67 - - 0. 05 - 0. 53 - 1. 05 1.07 -0. 31 ⏐ 2001 1. 32 - 1.89 0. 49 0. 42 1.ㄲ - 0. 37 ⏐ 2002 8.98 - 15.81 3. 28 2.09 11.51 1.03 ⏐ 2003 3.43 - - 5.23 1.09 1. 54 2.50 0.91 ⏐ 2004 3. 86 - . 4.09 0. 89 1.58 4.32 0.68
지가,2021,109,5. 시도별 지가 변동률(평균),106 - I . 국토/인구/가구 ⏐ 5. 시도별 지가 변동률(평균) ⏐ 단위: % ⏐ 전국 수도권 지 방 대도시 시지역 군지역 서 울 부산 대 구 인천 광주 ⏐ metropolitan Regional ⏐ Country Metro cities All cities Rural area Seoul Busan Daegu Incheon Giwangju ⏐ 2000 0.67 - - - - 0.05 -0.53 -1.05 1.07 -0.31 ⏐ 2001 1.32 - - - - - 1.89 0.49 0.42 1.?7 -0.37 ⏐ 2002 8.98 - - - - - 15.81 3.28 2.09 11.51 1.03 ⏐ 2003 3.43 - - - - - 5.23 1.09 1.54 2.50 0.91 ⏐ 2004 3.86 - - - - - 4.09 0.89 1.58 4.32 0.68 ⏐ 2005 4.99 - - - - - 6.56 1.86 3.32 4.94 1.87
