계열,판,쪽,표제목,header
시별인구,1969,72,34. 시별 가구 및 인구,54 일구 ⏐ 34시별가구및일구 ⏐ 가 구 주 ⏐ Number of Household ⏐ 시 별 총 수 본 국 인 외 국 ⏐ City Al Kored Korean Foreignar ⏐ 계 농 비동 가 계 농 가 비농가 제 가 ⏐ Totai Farm Non-farm Total Farm Non-farm ⏐ 총 수 Toidl 1 882 713 144 440 1 718 273 3 857 208 144 167 3 713 041 5 505 273 ⏐ 1 서울특별시 Seou 734 334 16 711 717 623 732 169 16 652 715 517 59 ⏐ 2부 산시 Busan 271 512 9 916 261 596 270 748 9910 260 838 ㆁ ⏐ 3일천시 Incheon 97 606 7 263 90 343 96 941 7114 89 827 149
시별인구,1972,42,12. 시부ㆍ군부 및 시별 인구,"40-인구 ⏐ 12. 시부•군부 및 시별 인구2,3 ⏐ 1 970. 10. 1 October 1)8) ⏐ 1955. 9. 1 1960. 12.1 1966. 10.1 ⏐ September 1 December 1 October 1 계 남 여 ⏐ Boith sexes Male Female ⏐ 전 •국 Whole country 21 526 374 24 989 241 29 192 762 3| 469 132 15 778 923 15 690 209 ⏐ 서울특별시 City of Sooul 1 574 868 2 445 402 3 803 360 5 536 377 2 762 180 2 774 197 ⏐ 부산시 Buscn Chy 1 049 363 1 163 671 1 430 011 1 880 710 941 356 939 354 ⏐ 경기도 Gyeonggi Do 2 363 660 2 748 765 3 107 807 3 358 105 1 684 433 1 673 672 ⏐ 강원 도 Gangweon Do 1 496 301 1 636 767 1 832 519 1 866 928 953 653 913 275 ⏐ 충청북도 Chungcheong Bug Do 1 192 071 1 369 780 1 550 009 1 481 566 753 624 727 942"
시별인구,1976,36,12. 시별인구,"34-인 구 ⏐ 12. 시 별 인 구 ⏐ Population by Si(City) ⏐ ※ 센서스 인구로서 의국인이 포함되었음• ※ Census population, inctuding foralaners ⏐ 1 9 7 5 ⏐ 1955 1960 1966 1970 계 남 여 ⏐ Both sexes Male옓 Female ⏐ 시 si 5 281 432 6 996 746 9 804 812 12 928 822 16 793 980 8 377 787 8 416 193 ⏐ 울특별시 City of Sec 574 86 2 445 402 3 803 360 5 525 262 6 889 470 3 429 218 3 460 252 ⏐ 부 -시 Busan Cl 049 36 1 163 671 1 430 011 1 876 391 2 454 051 1 221 530 1 232 521 ⏐ 경기도 Gyeong gi Do 402 764 492 274 730 458 907 560 1 648 951 817 251 831 700 ⏐ 인천시 Incheon s, 321 072 401 473 527 284 643 384 799 982 398 278 401 704"
시별인구,1977,54,19. 시별 인구,"54-인구 ⏐ 19. 시 별 구 ⏐ Population by Si (City) ⏐ ※ 센서스 인구로서 외국인이 포함되었음. &Census popuiation, incuding foreigners ⏐ 1975 ⏐ 1955 1960 1968 1 97 023 계 여 ⏐ Both sexes_| Male Female ⏐ 시 si 5 281 432 6 996 746 9 804 812 12 928 822 16 793 980 8 377 787 8 416 193 ⏐ 서울특별식 City of Seou 574 86 2 445 403 3 803 360 5 525 262 s 889 47 3 429 218 3 460 252 ⏐ 부 산 시 Busan Cit 049 36: 1 163 67 1 430 011 1 876 391 454 05 1 221 530 1 232 521 ⏐ 경기도 Gyeong-gi Do 402 764 492 274 730 458 907 560 1 648 951 817 251 831 700 ⏐ 인천식 Incheon S 321 07. 401 473 27 2 799 982 398 278 401 704"
시별인구,1978,58,19. 시별인구,"58-인 구 ⏐ 19. 시 별 인 부 ⏐ Population by si (City) ⏐ ※ 센서스 인구로서 외국인이 포함되었음. ※ Confus populatfiom, including foraigners_. ⏐ 1975 ⏐ 1955 1960 1966 19703 ⏐ 여 ⏐ Both sexes Femdl@. ⏐ 시 si 5 281 432 6 996 746 9 804 812 12 928 822 16 792 771 8 383 271 8 409 500 ⏐ 574 8 주 성 새유류 3 803 360 5 525 262 6 889 502 3 432 182 3 457 320 ⏐ 049 3 1 430 011 1 876 391 2 453 173 1 222 153 1 231 020 ⏐ 경기도 Gyeong-gi Do 402 764 492 274 730 458 907 560 1 649 017 817 722 831 295"
시별인구,1979,58,19. 시별 인구,"58-인 쿠 ⏐ 19. 시 별 인 구 ⏐ Population by Si(City) ⏐ ※ 센서스 인구로서 외국인이 포함되었음. ※ Census papulation, tncluding foraigners ⏐ 1975 ⏐ 1955 1960 1966 19702 남 여 ⏐ Both sexes Male Female ⏐ 시 si 5 281 432 6 996 746 9 804 812 12 928 822 16 792 771 8 383 271 8 409 500 ⏐ 1 574 868 2 445 402 3 803 36 5 525 262 6 889 502 3 432 182 3 457 320 ⏐ Busan City 1 049 36: 1 163 671 1 430 01 1 876 391 2 453 173 1 222 153 1 231 020 ⏐ 경기도 Gyoong-gi Do 402 764 492 274 730 458 907 560 1 649 017 817 722 831 295 ⏐ (천시 Incheon 321 072 401 473 527 284 643 384 800 007 398 678 401 329"
시별인구,1980,56,18. 시별인구,"56-인 구 ⏐ 18. 시 별 인 구 ⏐ Population by Si (City) ⏐ ※ 센서즈 인구로서 외국인이 포함되었음. ※ Census population, including foreigners ⏐ 1975 ⏐ 1955 1 960 1 966 1 9 7 0"" 남 여 ⏐ 계 ⏐ Both sexes Male Female ⏐ 계 Total 5 281 432 6 996 746 9 804 812 12 928 822 16 792 771 8 383 271 8 409 500 ⏐ 서울특별시 City of Seoul 574 86 2 445 402 3 803 360 5 525 262 6 889 502 3 432 182 3 457 320 ⏐ 부산시 Bsan City 049 36: 1 163 671 1 430 011 1 876 391 2 453 173 1 222 153 1 231 020 ⏐ 경기도 Gyeongrgi Do 402 764 492 274 730 458 907 560 1 649 017 817 722 831 295"
시별인구,1981,56,10. 시별인구,"56-I. 인구 ⏐ 10. 시 별 인구 ⏐ Population by Si (Ciy) ⏐ ※센서스 인구로서 외국인이 포함되었음. ※ Census population including foreigners ⏐ 1980P ⏐ 1960 1966 1970"" 1975 계 남 여 ⏐ Both sexes Male Female ⏐ 춍 계 Total • 550 746 S EO4 EL2 12 528 622 16 792 171 21 46C E25 IC 705 576 IC 731 245 ⏐ 섭용페백시 닭%어 5ggul ⏐ 경기도 Gyeong-gi Do 45: 274 1=0 45€ 507 5e0 1 645 047 2 980 213 1 187 073 1 192 540 ⏐ 43 38 ₩7 ~ U84 73G 542 ¢2L 542 116 ⏐ Suweon Si IeS Se :45 310 757 453 73¢ ㄷ"
시별인구,1982,56,10. 시별인구,"56-I. 인 구 ⏐ 10. 시 별인구 ⏐ Population by Si (Cty) ⏐ ※ 센서스 인구로서 외국인이 포함되었음 ※ Census popuiatton, Inciuding forergners ⏐ 1980P) ⏐ 1960 1966 19701 1975 계 남 여 ⏐ Both sexes Male Female옓 ⏐ 총 계 Total 8 996746 9 804 8I2 22 928 822 25 792* 771 21 440 825 10 709 576 10 731 249 ⏐ 1울특별시 City of SeoL 3 15 19로 1 33 358 5 82: 39길 503 $3802% : 380 458 오 39 없 ⏐ 부산 시 Busan City ⏐ 경기도 Gyeong-gi Do 492 276 730 458 907 560 2 6¢8 017 2 380 213 2 287 673 호 192 540 ⏐ 2참시 l0h00 g 401 $73 23 38 800 007 1 084 730 542 620 542 110"
시별인구,1983,56,10. 시별인구,"56-I인 구 ⏐ 10. 시 별 인구 ⏐ Population by Si (Cty) ⏐ ※ 센서스 인구로서 외국인이 조함되었음 ※ Census popula tron, icludng torengners ⏐ 1980 ⏐ 1960 19 6 6 1970 1975 계 남 여 ⏐ Both sexes Male Female옓 ⏐ 총 계 Total 6996746 9 804 812 12 953 192 16 792 771 22 434 116 1 ) 713 025 13 721 092 ⏐ 섭&물부시 읽었이 Egpu 로 않3 상유로 3 803 3. 52 535 725 364 37 13383 + 195 5)4 ⏐ 43¢ 0 875 904 139 76 • 539 399 ⏐ 경기도 Gyeong-gy Do 492 274 130 458 911 088 1 641 011 2 379 422 1 187 211 1 132 3LL ⏐ 01 47 15은 185 80) 007 2 033 306 5+2 215 5+1 691"
시별인구,1984,56,10. 시별인구,"56-표. 인 구 ⏐ 10. 시 별 인 구 ⏐ Population by Shi (City) ⏐ ※센서스 인구로서 외국일이 포함되었음 ※ Census populaton, mcludng foregners ⏐ 1980 ⏐ 1960 1966 1970 1975 남 요 ⏐ 계 ⏐ Both sexes Male Female ⏐ 계 Total 6996 746 9 804 812 12 953 192 16 792 771 21 434 116 10 713 025 20 721 091 ⏐ 서울특별시 Seoub-tckpyoishi 445 402 38033 535 725 6 889 502 8 364379 4 168 875 은 385 3% ⏐ 부산직할시 Pusan-Jjkalsh 163 6 430 011 879 904 2 453 173 3 159 766 2 570 367 ⏐ 경기도 Kyongg-do 492 274 730 $5£ 911 088 1 649 017 2379422 1 187 L22 & 392 333"
시별인구,1985,56,10. 시별 인구,"56-표 인 구 ⏐ 10. 시 별인구 ⏐ Population by Shi(Cty) ⏐ ※ 센서스 인구로서 외국인이 포함되었음. ※ Census populaton, mchdng forergners ⏐ 1980 ⏐ 1960 1966 1970 1975 여 ⏐ 계 남 ⏐ Both sexes Male Female ⏐ 총 계 Total 8996746 9 804 812 12 953 192 16 792 771 21 436 226 10 713 025 10 721 092 ⏐ 서울특별시 Seoul-t""tkpyoish 4상도 상유로 로 833 임요 87g g 352 1 을 233 53 "" 코요습 ‡?? 168 81 4 335 596 ⏐ 부산직활시 Pusan-jilkalsh 163 67 570 3 ⏐ 경기도 Kyonggr-do 492 27¼ 730 458 912 088 1 649 0L7 2 379 422 } 3Ll"
시별인구,1986,60,10. 시별 인구,"60 - I. 인 구 ⏐ 10. 시 별 인 구 ⏐ Population by Shi(City) ⏐ ※ 센서스 인구로서 외국인이 포함되었음. ※ Census populaton, Including toregers ⏐ 1 98 59 ⏐ 1966 1970 1975 1980 계 남 여 ⏐ Both sexes Males Female얧 ⏐ 총 계 Total 9 806 812 12 953 192 16 792 771 21 434 116 26 458 170 13 193 730 13 264 ,460 ⏐ 서울특별시 Seoulrtukpyolsh ⏐ 3 803 360 5 535 725 6 889 502 8 364 379 9 645 932 4 806 844 4 839 088 ⏐ 부산직할시 Pusan-jik'alshi 1 630 011 1 879 904 2 453 173 3 159 766 를 636 807 1 388 옮 1 777 936 ⏐ 구직합시 Taegu-jik'als 030 672 006 970 1 023 702"
시별인구,1987,60,10. 시별 인구,"60 -I.인 구 ⏐ 10. 시 별 인 구 ⏐ Population by Shi (City) ⏐ ※센서스 인구로서 외국인이 포함되었음. ※ Census populaton, Including forengmers ⏐ 단위 : 명 In person ⏐ 1985 ⏐ 1966 1970 1975 1980 계 남 여 ⏐ Both sexes Male Female옓 ⏐ 계 Total 9 804 892 12 953 192 16 792 771 21 634 116 26 442 980 13 168 116 13 274 864 ⏐ 서울특별시 Seout-takpyolshi 3803 360 5 535 725 6 889 502 8 36k 379 9 639 170 & 795 086 4844 024 ⏐ 부산직할시 Pusan-Jk'alshi 1 430 011 1 879 904 2 453 373 3 159 766 3 516 798 736 376 1 778 422 ⏐ 대규직합시 Taegu-ik'alsh 2 029 853 005 364 1 024 689"
시별인구,1988,60,10. 시별인구,60 -I. 인 구 ⏐ 10. 시 별 인 구 ⏐ Population by Shi (City) ⏐ ※ 센서스 인구로서 외국인이 포함되었음. ※ Census popuatorns mnchuding foreigners ⏐ 단위 : 명 In person ⏐ 1985 ⏐ 1966 1970 1975 1980 계 남 여 ⏐ Both sexes Male옓 Female ⏐ 충 계 Total 8 804 812 12 953 192 18 792 771 21 434 116 26 442 980 13 168 118 13 274 864 ⏐ 서울특별시• Seou-takpyoish 3 803 300 5 535 725 B 889 502 8 384 379 9 639 110 4 795 088 4 844 024 ⏐ 부산직할시 Pusan-jlkalshi 1 430 011 1 879 904 2 453 173 3 159 766 3 514 798 ? 738 378 778 42 ⏐ 대구직합시 Taegu-jilk'alshl = 2 029 853 1 005 384 024 48
시별인구,1989,62,10. 시별인구,"60-I인 구 ⏐ 10. 시 별 인 구 ⏐ Population by Shi(City) ⏐ ※ 센서스 인구로서 외국인이 포함되었음. ※ Census population, mcludng forergmers ⏐ 단위 •명 In person ⏐ 1985 ⏐ 196 6 1970 1975 1980 계 남 여 ⏐ Both sexes Males Female ⏐ 총 계 Total 9 804 812 12 953 192 18 792 771 21 434 118 26 442 980 13 188 116 13 274 884 ⏐ 서울특별시 Seoult'okpyoishi 3 803 360 5 535 725 8 889 502 8 384 379 8 639 110 4 795 088 4 844 024 ⏐ 부산직합시 Pusanjkalsh 1 430 01! 1 870 00: 2 453 173 3 159 788 3 514 798 고 388 378 } 32을 4공3 ⏐ 구직할시 Taegu-jik als (! 2 029 853 005 364"
