series,edition,page,table,header
학교,1987,380,2. 시ㆍ도별 학교총괄,380- X. 교육 문화 ⏐ 2. 시 • 도별 학교총괄 - 초•중등교육 ⏐ 학 교교 실))학 급2) 학 생 교 원 사무직원 ⏐ Students Teachers ⏐ 계 남 계 남 Clerical ⏐ Schools Classrooms얧 Classes Both sexes Male Both sexes얧 Male sta.ffs ⏐ 유 치 ⏐ 1 9 7 5 17 882 8$3 ⏐ 20 ⅞76 NN 8$8 ⏐ 23 520 1 000 ⏐ 197 26 568 ⏐ 97g 31 783
학교,1988,380,2. 시ㆍ도별 학교총괄,580- X. 교육 문화 ⏐ 2. 시• 도별 학교총괄 -초•중등교육 ⏐ 학 . 교 교 실기학 급2) 학 생 교 원 사무직원 ⏐ Students Teachers ⏐ 계 남 계 남 Clercal ⏐ Schools Cla.ssrooms Classes Both sexes Male Both sexes Male stafts ⏐ 유 치 원 KINDERGARTEN ⏐ 19 7 ⑧ 635 1 010 37 197 20 776 2 288 434 868 ⏐ $ 7 805 1 140 41 866 23 520 2 415 404 1898 ⏐ 721 385 47 571 26 388 2 561 403 078 ⏐ 197 g 794 1 498 57 430 31 783 2896 ⏐ 1 9 8 [0 901 1 730 66 433 36 392 3 339
학교,1989,380,2. 시ㆍ도별 학교총괄,378- 세. 교육 문화 ⏐ 2. 시 • 도별 학교총괄 - 초•중등교육 ⏐ 학 교 교 실1) 학 급2) 학 생 교 원 사무직원 ⏐ Students얧 Teachers ⏐ 계 남 계 남 Clerical ⏐ Schools Classrooms Classes Both sexes Male Both sexes Male staffs ⏐ 유 치 원 KINDERGARTEN ⏐ 19 7 7 665 1 572 1 140 41 866 23 520 2 415 404 ? 000 ⏐ 18} 8g 721 1 774 1 385 47 571 26 368 2 561 403 1 076 ⏐ 9 794 1 968 1 496 57 430 31 783 2 896 429 1 138 ⏐ 9 8 01 901 1 740 1 730 56 433 36 392 3 339 493 1 223 ⏐ 1 9 8 2 958 2 186 4 094 153 82: 83 ⑧34 3 981 552 1 498
학교,1990,380,2. 시ㆍ도별 학교총괄,378 - X. 교육 문화 ⏐ 2. 하•차벨 특☆청3금 - 차•다쭈봤과 ⏐ 학 교 교 실1)학 급2) 학 생 교 원 사무직원 ⏐ Students Teachers ⏐ 계 남 계 남 Clerical ⏐ Schools Classrooms Classes Both sexes Male Both sexes Male staffs ⏐ 유 치 원 KINDERGARTEN ⏐ 1838 721 1 774 1 385 47 571 26 368 2 581 1 078 ⏐ 784 1 988 1 496 57 430 31 783 2 896 1 136 ⏐ 901 1 740 1 730 66 433 36 392 3 339 1 223 ⏐ 1 9 8 1 2 958 2 186 4 094 153 823 83 634 3 961 1 496 ⏐ 1883 8 2 3 463 2 497 4 762 168 653 91 618 4 349 1 685
학교,1991,380,2. 시ㆍ도별 학교총괄,378- X. 교육 문화 ⏐ 2. 하•₩웰 특 ☆ 위 꿈 -채•다쏙화깥 ⏐ 학 교교 실기 학 급2) 학 생 꾜 원 사무직원 ⏐ Students Teachers ⏐ 계 남 계 남 Clerical얧 ⏐ Schools Classrooms Classes Both sexes Male Both sexes Male staffs ⏐ 유 치 원 KINDERGARTEN ⏐ 19 7 9 1 496 57 430 31 783 2 896 429 1 138 ⏐ 1980 1 730 66 433 36 392 3 339 493 1 223 ⏐ 18 & 1 4 094 153 823 83 634 3 961 552 1 496 ⏐ 1982 4 762 168 653 91 618 4 349 444 1 685 ⏐ 19 8 3 5 910 208 404 111 507 8 421 718 2 334
학교,1992,380,2. 시ㆍ도별 학교 총괄,378- X. 교육 문화 ⏐ 2. 급•불헤 부 가☆ 취진 구금 - A•미쓱하파 ⏐ 학 교 교 실1학 급2) 생 교 원 사무직원 ⏐ Students Teachers ⏐ 남 계 남 Clerical ⏐ Schools Classrooms Classes Male얧 Both sexes Male staffs ⏐ 유 치 원 KINDERGARTEN ⏐ 1980 901 1 740 1 730 36 392 3 339 493 ⏐ 1981 2 958 2 186 4 094 823 83 634 3 961 552 ⏐ 1982 3 463 2 497 4 762 91 618 4 349 444 ⏐ 1983 4 276 3 535 5 910 111 507 6 421 718 ⏐ 1984 5 183 4 606 7 336 136 114 7 513 795
학교,1993,546,2. 시ㆍ도별 학교 총괄,"544- 제. 교육 및 문화 ⏐ 2. 해•차비 별 첫 * 금-체.미쏙화잡 ⏐ 학 교"". 교 실리 학 급 학 생 교 원 사무직원 ⏐ Students Teachers ⏐ 남 님 Clerical ⏐ Schools Classrooms얧 Male Male staffs ⏐ 유 치 원 Kindergarten ⏐ 1982 3 463 2 497 168 653 91 618 444 1 685 ⏐ 1983 4 276 3 535 206 404 111 507 718 2 334 ⏐ 1984 5 183 4 606 254 438 136 114 795 2 623 ⏐ 1985 6 242 5 981 939 3 164 ⏐ 1986 7 233 6 796 1 029 3 612"
학교,1994,558,2. 시도별 학교총괄,534-K 교육 및 문화 ⏐ 2. 시도별 학교총괄-초•중등교육 ⏐ 학 교') 교 실>) 학급 학생 교원 사무직원 ⏐ 남 남 Clerical ⏐ Schools Classrooms Classes Students Male Teachers얧 Male staffs ⏐ 유 치 원 Kindergarten ⏐ 9 112 314 692 3 164 ⏐ 10 995 354 537 3 612 ⏐ 12 480 397 020 4 121 ⏐ 405 255 4 585 ⏐ 410 824 5 183 ⏐ 414 533 5 283
학교,1995,576,2. 시ㆍ도별 학교총괄,"552 - [I 교육 및 문화 ⏐ 2. 시 •도별학교총괄 ⏐ 단위 : 개, 명 ⏐ 학교') 교실리) 학급 학 생 교원 사무직원 ⏐ Students Teachers ⏐ 남 남 Clerical ⏐ Schools Classrooms Classes Male Male staffs ⏐ 유치원 Kindergarten ⏐ 354 537 3 612 ⏐ 397 020 4 121 ⏐ 405 255 4585 ⏐ 5 183"
학교,1996,602,2. 시ㆍ도별 학교총괄,574 - 11 교육 및 문화 ⏐ 2 시•도 별 학 교 총 괄 ⏐ 단위 개 명 ⏐ 학교') 교실3) 학급 학생 교원 사무직원 ⏐ Students Teachers ⏐ 남 남 Clercal ⏐ Schools Classrooms| Classes Male Male staffs ⏐ 유치원 Kmdergarten ⏐ 1987 12 480 397 020 209 337 4 121 ⏐ 1988 13 262 405 255 211 593 4 585 ⏐ 1989 13 922 410 824 214 994 5183 ⏐ 1990 14473 414 532 5283
학교,1997,622,2. 시ㆍ도별 학교총괄,"594 -X 교육 문화 및 체육 ⏐ 2. 시 •도별학교총괄 ⏐ 단위 : 개, 명 ⏐ 학교') 교실2) 학급 학 생 교원 사무직원 ⏐ Students Teachers ⏐ 남 남 Clercal ⏐ Schools Classrooms Classes Male Male staffs ⏐ 유치 원 Kindergarten ⏐ 1988 405 255 211 593 ⏐ 1989 410 824 214 994 ⏐ 1990 414 532 217 690 ⏐ 1991 535"
학교,1998,638,2. 시ㆍ도별 학교총괄,"600 - XVI. 교육 • 문화 및 체육 ⏐ 2. 시 •도별학교총괄 ⏐ 단위 : 개, 명 ⏐ 학교D 교실 3) 학급 학생 교원 사무직원 ⏐ Students Teachers ⏐ 남 남 Clerical ⏐ Schools Classrooms Classes옓 Male Male stafts ⏐ 유치 원 Kindergarten옓 ⏐ 8 246 13 822 410 824 214 894 14 886 1 056 5 183 ⏐ 8 354 14 473 414 532 217 690 18 511 1 202 5 283 ⏐ 8 421 14 899 425 535 221 763 19 706 1 069 5 322 ⏐ 8 498 450 882 236 541 21 107 1 086 5 486"
학교,1999,648,2. 시ㆍ도별학교총괄(1990-1999),"646 - XIX. 교육 • 문화 및 체육 ⏐ 2. 시 •도별학교총괄(1990-1999) ⏐ 단위 : 개, 명 ⏐ 학교"") 교실2) 학급 학 생 교원 사무직원 ⏐ Srudents Teachers ⏐ 연도 • 시도 남 남 Clerical ⏐ School Classrooms옓 Clases_ Male Male stafts ⏐ 유치원 Kindergarten헸 ⏐ 1990 18 511 ⏐ 1991 19 706 ⏐ 1992 21 107 ⏐ 1993 22 207 1 132"
학교,2000,658,2. 시ㆍ도별 학교총괄(1991-2000),"656- XIX. 교육 • 문화 및 체육 ⏐ 2. 시 •도별학교총괄(1991-2000) ⏐ 단위 : 개, 명 ⏐ 학교') 교실리) 학급 학생 교 원 사무직원 ⏐ Students Teachers ⏐ 연도 • 시도 남 남 Clerical ⏐ School Classrooms Classes Male옓 Male statts ⏐ 유치원 Kindergaren ⏐ 1991 8 421 5 322 ⏐ 1992 8 498 5 486 ⏐ 1993 8 515 5 929 ⏐ 1994 8 910 ? 012"
학교,2001,678,2. 시ㆍ도별 학교총괄(1992-2001),"674- XX. 교육• 문화 및 체육 ⏐ 2.시•도별학교충괄(1992-2001) ⏐ 단위 : 개, 명 ⏐ 학교!) 교실리) 학급 화 생 교원 사무직원 ⏐ 연도 • 시도 Students Teachers ⏐ 남 남 Clerical ⏐ School Classrooms Classes Male Male쵸 Stalfs ⏐ 유치원 Kindergarten ⏐ 1992 450 882 1 086 ⏐ 1993 469 380 1 132 ⏐ 1994 510 100 1 251 ⏐ 1995 529 265 ! 165"
학교,2002,660,2. 시·도별학교총괄(1993~2002),"658- XIX. 교육, 문화 및 체육 ⏐ 2. 시•도별학교총괄(1993~2002) ⏐ 단위 : 개, 명 ⏐ 학교!) 교실리 학급 학생 교원 사무직원 ⏐ Students Teachers ⏐ 연도 • 시도 남 남 Clerical ⏐ School Classrooms옓 Classes Male얧 Male얧 staffs ⏐ 유치원 Kinder garten ⏐ 1993 16 124 247 303 ⏐ 1994 17 865 269 950 ⏐ 1995 18 722 281 500 ⏐ 1996 19 460 292 006"
학교,2003,702,2. 시ㆍ도별 학교 총괄,"700 - XVI. 교육, 문화 및 과학 ⏐ 2. 시•도 별 학 교총 괄 ⏐ 단위 : 개, 명 ⏐ 학교 1) 교실2) 학급 학 생 교 원 사무직원 ⏐ Students Teachers ⏐ 남 남 Clerical ⏐ School Classrooms Classes Male Male staffs ⏐ 유치원 Kindergarten ⏐ 1994 17 865 7 012 ⏐ 1995 18 722 7 752 ⏐ 1996 19 460 8 179 ⏐ 1997 20 138 8 548"
학교,2004,764,2. 시ㆍ도별학교총괄,"760 - XVII. 교육, 문화 및 과학 ⏐ 2. 시•도별학교총 괄 ⏐ 단위 : 개, 명 ⏐ 학교수 교실수 학급수 학생수 교원수 사무직원수 ⏐ 1) ⏐ 남 남 Clerical ⏐ Schools Classrooms Classes Students Male옓 Teachers Male staffs ⏐ 유 치 원 Kindergarten ⏐ 1995 529 265 1 165 ? 752 ⏐ 1996 551 770 1 154 8 179 ⏐ 1997 568 096 1 113 8 548 ⏐ 1998 533 912 832 8 041"
학교,2006,792,2. 시ㆍ도별학교총괄,"790 - XVI. 교육, 문화 및 과학 ⏐ 2.시•도별학교총괄 ⏐ 단위 : 개, 명 ⏐ 학교수 교실수 학급수 학생수 교원수 사무직원수J ⏐ 남 남 ⏐ Schools Classrooms Classes Students Male얧 Teachers Male Clenical statts ⏐ 유치원 Kindergarten ⏐ 568 096 300 743 27 586 1 113 ⏐ 533 912 283 869 26 721 832 ⏐ 534 166 285 573 26 164 627 ⏐ 28 012 662 ⏐ 28 975 607"
학교,2007,830,2. 시ㆍ도별 학교 총괄,"832 - XVIL. 교육, 문화 및 과학 ⏐ 2. 시 •도별학교총괄 ⏐ 단위 : 개, 명 ⏐ 학교수 교실수 학급수 학생수 교원수 사무직원수1) ⏐ 남 남 ⏐ Schools Classrooms Classes Students Male Teachers Male Clerical staffis ⏐ 유치원 Kindergarten ⏐ 1998 20 091 533 912 832 8 041 ⏐ 1999 19 954 534 166 627 5 679 ⏐ 2000 20 723 545 263 662 6 486 ⏐ 2001 21 122 545 142 607 6 681 ⏐ 2002 21 539 550 256 608 6 068"
학교,2008,834,2. 시ㆍ도별 학교 총괄,"830 - XI. 교육, 문화 및 과학 ⏐ 2. 시 •도별학교총괄 ⏐ 단위 : 개, 명 ⏐ 학교수 교실수 학급수 학생수 교원수 사무직원수"") ⏐ 남 남 ⏐ Schools Classrooms Classes Students Male Teachers Male Clerical stafts ⏐ 유 치 원 Kindergarten ⏐ 1999 26 164 627 5 679 ⏐ 2000 28 012 662 6 486 ⏐ 2001 28 975 607 6 681 ⏐ 2002 29 673 608 6 068 ⏐ 2003 30 290 576 5 806"
