계열,판,쪽,표제목,header
지방세,1978,515,294. 시ㆍ도별 지방세징수,Public Finance-515 ⏐ 293. 지 방세징 수 ⏐ Local Tax Collection ⏐ 단위 ' 100만원 In milion won ⏐ 종 계 특별시 및 도세 시 세 군 세 ⏐ Total special city & Province si Gun ⏐ 1731111- 00000~00~~~~~~0 0000660777777?~ 3 78 / 400 3329 672 3 452 ⏐ 45678801234587 3 824 780 4 047 ⏐ 11 352 5 631 979 4 743 ⏐ 16 152 8 755 1 451 5947 ⏐ 14 099 8 497 1 374 4 228 ⏐ 19 357 12 557 2 264 4 535
지방세,1979,509,297. 시ㆍ도별 지방세징수,fublic Finance-509 ⏐ 296. 지 방 세 징 수 ⏐ Local Tax Collection ⏐ 단위 : 100만원 In milion won ⏐ 총 계 특별사및도세 시 세 군 세 ⏐ Total Special city & province Si Gun ⏐ 11 a0ngnnaa 666666777777777 45678901 8 82 3 997 780 4 047 ⏐ 11 35: 5 631 979 4 743 ⏐ 16 152 8 755 5947 ⏐ 14 099 8 497 4 225 ⏐ 19 357 12 557 4 53 ⏐ 26 584 17 282 6 239
지방세,1980,505,296. 시ㆍ도별 지방세징수,Public Finance-505 ⏐ 295. 지 방 세 징 수 ⏐ Local Tax Collection ⏐ 단위 : 100만원 In mllion won ⏐ 총 계 특별시 및 도세 시 세 군 세 ⏐ Total Special city & province si Gun ⏐ 1898 19 357 12 557 2 264 4 535 ⏐ 26 584 17 282 3 062 6 239 ⏐ 33 232 24 025 4 041 5165 ⏐ 1333 39 811 27 964 4 915 6 932 ⏐ 46 608 31 428 19 483 8 696 ⏐ 74 134 48 930 14 011
지방세,1999,438,16. 지방자치단체 지역별 세입(일반회계)(1990-1997),436 - XI. 재 정 ⏐ 16. 지방자치단체 지역별 세입(일반회계)(1990-1997) ⏐ 단위 : 10억원 ⏐ 전국 서 울 부산 대구 인천 광주 대전 울산 ⏐ 연 도 ⏐ Tolal Seoul Pusan Taegu Inchon Kwangju Tacjon UIsan ⏐ 총 계 ⏐ 1990 19 385.0 3 738.6 1 162.8 167.3 665.3 486.1 407.2 •..... ⏐ 1991 24 244.0 4 618.6 1 484.5 1. 006.5 895.4 575.6 563.8 ⏐ 1992 26 428.5 5 097.8 I 782.5 1 241.1 1 067.2 638.2 687.6 ⏐ 1993 29 080.0 5 190.9 1 957.5 1 197.0 1 156.3 ㄲ6.8 755.9 ⏐ 1994 37 203.8 5 756.5 2 311.3 1 625.8 1 272.6 926.6 937.3
지방세,1999,440,17. 지방자치단체 지역별 세출(일반회계)(1990-1997),438- XII. 재 정 ⏐ 17. 지방자치단체 지역별 세출(일반회계)(1990-1997) ⏐ 단위 : 10억원 ⏐ 전국 서 윱 부산 대구 인천 광 주 대 전 울산 ⏐ 연 도 ⏐ Toual Seoul Pusan Taegu Inchon Kwangju Taejon Uisan얧 ⏐ 총 계 ⏐ 1990 15 320.7 2 784.6 963.0 645.6 468.8 389.6 320.8 ⏐ 1991 19 348.3 3 622.4 1 202.8 783.8 626.0 483.7 436.5 ⏐ 1992 22 040.8 4 258.0 | 516.4 1 010.5 805.9 532.0 508.5 ⏐ 1993 24 220.4 4 501.1 1 658.3 964.5 841.1 622.0 824.7 ⏐ 1994 30 340.5 4 803.4 2 086.4 1 315.5 987.5 715.4 780.4
지방세,2000,444,15. 지방자치단체 지역별 세입(일반회계)(1991-1998),442 - 세I. 재 정 ⏐ 15. 지방자치단체 지역별 세입(일반회계)(1991-1998) ⏐ 단위 : 10억원 ⏐ 전국 서 울 부산 대구 인천 광주 대 전 울산 ⏐ 연도 ⏐ Total Seoul Busan Daegu Incheon Gwangju Daejeon Ulsan ⏐ 계 ⏐ 1991 24 244.0 4 618.6 1 484.5 1 006.5 895.4 575.6 563.8 ⏐ 1992 26 428.5 5 097.8 1 782.5 1 241.1 1 067.2 638.2 687.6 : ⏐ 1993 29 080.0 5 190.9 1 957.5 1 197.0 1 156.3 776.8 755.9 ⏐ 1994 37 203.8 5 756.5 2311.3 1 625.8 1 272.6 926.6 937.3 ⏐ 1995 45 610.8 6 978.9 2674.6 1 979.6 1 720.4 1 084.1 1 057.8
지방세,2000,446,16. 지방자치단체 지역별 세출(일반회계)(1991-1998),444 - XI. 재 정 ⏐ 16. 지방자치단체 지역별 세출(일반회계)(1991-1998) ⏐ 단위 : 10억원 ⏐ 전국 서울 부산 대구 인천 광주 대 전 울 산 ⏐ 연도 ⏐ Total Seoul Busan Daegu Incheon Gwangju옓 Daejeon Uilsan ⏐ 총 계 ⏐ 1991 19 348.3 3 622.4 1 203.8 783 8 626.0 483.7 436.5 ⏐ 1992 22 040.8 4 258.8 1 516.4 1 010.5 806.0 532.0 588.5 ⏐ 1993 24 220.4 4 501.1 1 658.3 964.5 841.1 622.0 624.7 ⏐ 1994 30 340.5 4 803.4 2 036.4 1 315.5 987.5 715 4 780.4 ⏐ 1995 35 781.8 5 391.5 2 299.5 1 666 0 1 375.1 803.2 861.0
지방세,2001,452,15. 지방자치단체 지역별 세입(일반회계)(1992-1999),448-XII. 재 정 ⏐ 15. 지방자치단체 지역별 세입(일반회계)(1992-1999) ⏐ 단위 : 10억원 ⏐ 전국 서울 부산 대구 인천 광 주 대 전 울산 ⏐ 연도 ⏐ Total Seoul Busan Daegu옓 Incheon Gwangju Daejeon UIlsan ⏐ 총 . 계 ⏐ 1992 26 428.5 5 097.8 1 782.5 1 241.1 1 067.2 638.2 6876 ⏐ 1993 29 080.0 5 190.9 1 957.5 1 197.0 1 156.3 776.8 755.9 ⏐ 1994 37 203.8 5 756.5 2 311.3 1 625.8 1 272.6 926.6 9373 ⏐ 1995 45 610.8 6 978.9 2 674.6 1 979.6 1 720.4 1 084.1 1 057.8 ⏐ 1996 54 965.1 8 948.1 2 931.3 2 169.6 1 899.8 1 349.6 1 114.1
지방세,2001,454,16. 지방자치단체 지역별 세출(일반회계)(1992-1999),450 - XI. 재 정 ⏐ 16. 지방자치단체 지역별 세출(일반회계)(1992-1999) ⏐ 단위 : 10억원 ⏐ 전국 서 울 부 산 대구 인천 광 주 대 전 움산 ⏐ 연도 ⏐ Total Seoul Busan Daegu Incheon Gwaneju Daejeon Uisan ⏐ 총 계 ⏐ 1992 22 040.8 4 258.8 1 516.4 1 010.5 806.0 532.0 588.5 ⏐ 1993 24 220.4 4 501.1 i 658.3 964.5 841.1 622.0 624.7 ⏐ 1994 30 340.5 4 803.4 2 036.4 1 315.5 987.5 715.4 780.4 ⏐ 1995 35 791.8 5 391.5 2 289.5 1 666.0 1 375.1 803.2 861.0 ⏐ 1996 42 934.6 7 069.6 2 485.7 1 7.6 1 6317 956.5 952.8
지방세,2002,428,11. 지방자치단체 지역별 세입(일반회계)(1993~2000),426-XI. 재 정 ⏐ 11. 지방자치단체 지역별 세입(일반회계)(1993~2000) ⏐ 단위 : 10억원 ⏐ 전국 서 울 부산 대구 인천 광주 대전 울산 ⏐ 연 도 ⏐ Total Seoul Busan Daegu Incheon Gwangiu Dacjeon Ulsan ⏐ 총 계 ⏐ 1993 29 080.0 5 190.9 1 957.5 1 197.0 776.8 755.9 : ⏐ 1994 37 203.8 5 756.5 2 311.3 1 625.8 926.6 937.3 ⏐ 1995 45 610.8 6 978.9 2 674.6 1 979.6 1 084.1 1 057.8 ⏐ 1996 54 965.1 8 948.1 2 931.3 2 163.6 1 349.6 9760 ⏐ 1997 62 017.6 9 771.9 3 111.5 2 701.0 1 581.2
