series,edition,page,table,header
사업체,1997,298,3. 시ㆍ도별 사업체수 및 종사자수,"270-M 사업체 총괄, 도소매 및 서비스업 ⏐ 3. 시 •도별 사업체수 및 종사자수 ⏐ 단위 • 개, 명 ⏐ 전 국 서울특별시 부산광역시 대구광역시 ⏐ Entire naton옓 Seoul Metropoltan Clty Pusan Metropoltan Caty Taegu Metropoltan Cty ⏐ 사업체수|총사자수 사업채수|총사자수 사업체수]종사자수 사업채수|총사자수 ⏐ Number of Number of Number of Number of ⏐ establish- Number of estabish- Number of estabish- Number of estabush- Number of ⏐ ments workers ments workers ments workers ments workers ⏐ 전 산 업| 2 771 068 18 634 278 708 025 3 874 597 256 368 1 152 092 166 449 737 394 ⏐ 농업, 수렴 및임 업 1 420 I? 909 89 2 065 136 15 216 ⏐ 농업,수렵업및 관련서비스업 1 344 15 899 84 14 129 14"
사업체,1998,318,3. 시ㆍ도별 사업체수 및 종사자수,"280 - VI. 사업체 총괄, 도소매 및 서비스업 ⏐ 3. 시 1 • 도별 사업체수 및 종사자수 ⏐ 단위 : 개, 명 ⏐ 전 국 서울뜩별시 부산광역시 대구광역시 ⏐ Whole Country Seoul Metropolitan City Pusan Metropolitan City Taegu Metropolitan City ⏐ 사업체수 종사자수 사업체수 종사자수 사업체수 | 총사자수 사업체수 | 종사자수 ⏐ Establish- Establish- Establish Establish- ⏐ ments Workers ments Wokers mcnts Wotkers ments Workers ⏐ 진 산 업 2 807 802 14 006 754 699 797 4 045 537 253 355 1 197 990 168 818 736 308 ⏐ 농 업, 수립입 및임 업 2 095 25314 63 1 368 13 107 11 220 ⏐ 농입,수립업 및 관련서비스업 2 000 ~ . a 201 ⏐ 임업,벌 목및관련서비스업 87 6 19"
사업체,1999,324,3. 시ㆍ도별 사업체수 및 종사자수(1998),"322 * VII. 사업체 총괄, 도소매 및 서비스업 ⏐ 3. 시 • 도별 사업체수 및 종사자수(1998) ⏐ 단위 : 개, 명 ⏐ 전 국 서울특별시 부산광역시 ⏐ Whole County Seoul Metropolitan City Pusan Meropolitan Cisy ⏐ 산업분류 사업체수 중사자수 사업체수 : 종사자수 사업체수 종사자수 ⏐ Establish- 남 여 Establish- Establish- ⏐ ments Wotkers Male Fmale ments Workers ments Workers ⏐ 전 산 업 2 785 659 12 416 5s8 ㄱㄲ ⅞0 4 644 818 663 293 3 378 615 249 677 1 010 408 ⏐ 농업, 수렵업및임 업 2 308 25 571 21 242 4 329 63 926 19 103 ⏐ 농업,수렵업 및 관련서비스업 2 218 24 417 20 372 4 045 798 "" ⏐ 임업.벌 목및관련서비스업 90 1 154 870 284 128"
사업체,2000,318,3. 시ㆍ도별 사업체수 및 종사자수(1999),"316- VI. 사업체 총괄, 도소매 및 서비스업 ⏐ 3. 시 • 도별 사업체수 및 종사자수(1999) ⏐ 단위 : 개, 명 ⏐ 전 국 서울특별시 부산광역시 ⏐ The nation Seoul Metropolitan City Busan Metropolitan City ⏐ 사업체수 1 종사자수 사업체수 종사자수 사업체수 | 종사자수 ⏐ 산업분류 ⏐ Establsh- 남 여 Establish- Establish- ⏐ ments Workers Male Fmale ments Workers ments Workers ⏐ 전 산 업 2 927 330 12 920 289 8 026 088 4 894 201 690 205 3 367 652 256 561 1 045 176 ⏐ 놈 업 및 임 업 2 164 23 208 18 929 4 279 46 608 18 123 ⏐ 농업,수렵업 및 관련서비스업 2 103 22 300 18 150 4 150 16 112"
사업체,2001,324,3. 시ㆍ도별 사업체수 및 종사자수(2000),"320- V. 사업체 총괄, 도소매 및 서비스업 ⏐ 3. 시 • 도별 사업체수 및 종사자수(2000) ⏐ 단위 : 개, 명 ⏐ 전 국 서울특별시 부산광역시 ⏐ The nation Seoul Metropolitan City Busan Metropolitan City ⏐ 산업분류 사업체수 종사자수 사업체수 | 종사자수 사업체수 | 종사자수 ⏐ Establish- 남 여 Establish. Establish ⏐ ments Workers Male Fmale ments Workers ments Workers ⏐ 전 산 업 3 013 417 13 604 274 8 345 024 5 259 250 719 536 3 574 824 261 480 1 057 136 ⏐ 뇽 업 및 임 업 2 199 24 806 20 218 4 588 39 460 17 127 ⏐ 업 ? 121 23 963 19 535 15 120 ⏐ 업 78 843 683 4 7"
사업체,2002,304,3. 시·도별 사업체수 및 종사자수(2001),"302- VII. 사업체 총괄, 도소매 및 서비스업 ⏐ 3. 시 • 도별 사업체수 및 종사자수(2001) ⏐ 단위 : 개, 명 ⏐ 전 국 서울특별시 부산광역시 ⏐ The nation Seoul Metropolitan City Busan Metropoltan Citly ⏐ 산업분류 사업체수 | 종사자수 사업체수 | 종사자수 사업체수 종사자수 ⏐ Establish- 남 여 Establish- Establish- ⏐ ments Workers Male얧 Fmale tnents Workers얧 ments Workers ⏐ 전 산 업 3 051 482 14 336 604 8 675 979 5 660 625 725 569 3 876 833 263 117 1 117 981 ⏐ 농 업 및 임 업 1 868 24 433 18 025 6 408 30 305 8 149 ⏐ 업 280 ⏐ 임 업 4 25 10"
사업체,2003,348,3. 시ㆍ도별 사업체수 및 종사자수(2002),"346 - VII. 총사업체, 도소매 • 서비스업 및 기업경영 ⏐ 3. 시 • 도별 사업체수 및 종사자수(2002) ⏐ ※ 1표 설명문 참조 ⏐ 단위 : 개, 명 ⏐ 전 국 서울특별시 부산광역시 ⏐ The nation Seoul Metropoliran Ciy Busan Metropolitan City ⏐ 사업체수 종사자수 사업체수 종사자수 사업체수 • | 종사자수 ⏐ 남 여 Establish ⏐ Establish Establish ⏐ -ments Workers Male Female -ments Workers -ments Workers ⏐ 전 산 업 3 131 963 14 608 322 8 716 135 5 892 187 735 258 3 805 462 268 784 1 145 605 ⏐ 농 업 임 업 20 052 5 322 26 321 7 86"
사업체,2004,420,3. 시ㆍ도별 사업체수 및 종사자수(2003),"416 - VII. 총사업체, 도소매• 서비스업 및 기업경영 ⏐ 3. 시 • 도별 사업체수 및 종사자수(2003) ⏐ ※ 1표 설명문 참조 ⏐ 단위 : 개, 명 ⏐ 전 국 서울특별시 부산광역시 ⏐ The nation Seoul Busan ⏐ 사업체수 종사자수 사업체수 종사자수 사업체수 종사자수 ⏐ 남 여 ⏐ Establish Establish Establish ⏐ -ments Workers Male Female -ments Workers -ments Workers ⏐ 전 산 업 3 187 916 14 729 166 8 773 497 5 955 669 748 953 3 791 943 268 339 1 130 189 ⏐ 농 업 및 임 업 27 723 21 309 26 418 9 91"
사업체,2005,438,3. 시ㆍ도별 사업체수 및 종사자수(2004),"436 - VIII. 총사업체, 도소매 · 서비스업 및 기업경영 ⏐ 3. 시 • 도별 사업체수 및 종사자수(2004) ⏐ ※ 1표 설명문 참조 ⏐ 단위 : 개, 명 ⏐ 전 국 서울특별시 부산광역시 ⏐ The nation Seoul Busan ⏐ 사업체수 종사자수 사업체수 종사자수 사업체수 종사자수 ⏐ 남 여 ⏐ Establish Establish Establish ⏐ -ments Workers Male Female -ments Workers -ments Workers ⏐ 전 산 업 3 189 890 14 818 754 8 822 931 5 995 823 740 779 3 732 230 267 478 1 144 196 ⏐ 농 업 및 임 업 24 734 19 163 405 6 41"
사업체,2006,440,3. 시ㆍ도별 사업체수 및 종사자수(2005),"438 - VII. 총사업체, 도소매 • 서비스업 및 기업경영 ⏐ 3. 시 • 도별 사업체수 및 종사자수(2005) ⏐ ※ 1표 설명문 참조 ⏐ 단위 : 개, 명 ⏐ 전 국 서울특별시 부산광역시 ⏐ The nation Seoul Busan ⏐ 사업체수 종사자수 사업체수 : 종사자수 사업체수 • 종사자수 ⏐ 남 여 ⏐ Establish Establish Establish ⏐ -ments Workers Male Female -ments Workers -ments Workers ⏐ 전 산 업 3 204 809 15 147 4?1 9 02? 347 6 125 124 741 229 3 843 010 263 638 1 114 403 ⏐ 놈 업 및 임 업 26 008 16 349 9 125"
