series,edition,page,table,header
가구,1970,98,39. 시도별 외국인 가구 및 인구,78 인 구 ⏐ 38 국적 열령계급 및 성별 외국인 ⏐ 1966년 10월 1일 현재 총인구 조사결과 ⏐ 열령계 급별 총 수 호 주 오스트리 아 카 나 다 ⏐ Total Australla Austria Canada ⏐ 계 Both 남 여 Both 계 남 여 계 여 계 여 ⏐ seyes Male Female Male Female Both Female Both Female ⏐ sexes s X S sexes ⏐ 총 수 33 122 17 956 15 166 37 16 21 11 16 72 23 ⏐ 1 563 1 496 1N N1 •.. ⏐ 2 693 2 565 ⏐ 2 690 2 593
가구,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,"42-인 구 ⏐ 13. 시 • 도별 가구 · 인구 및 주택1p) ⏐ NUMBER of HOUSEHOLDS, POPULA TION and HOUSING by PROVINCE:1970 ⏐ 가 Hoirsblots + 인 구 주 택 ⏐ Population Housing unt ⏐ 계 한국인 계 한 국 인 의 국 인 계 현주 '공가 ⏐ 계 Korean 남 여 남 Ocew- ⏐ Total Korean Totai Both sexes Male Female Foreigners Male Total pled Vacant ⏐ 전국 5 864 330 5 857 861 31 469 132 31438 768 15 762 854 15 675 914 30 364 16 069 4 442 961 4 369 359 73 602 ⏐ 서울특별시 Whole country 1 097 432 1 095 223 5 536 377 5 525 884 2 756 572 2 769 312 10 493 5 608 596 754 586 201 10 553 ⏐ City of Seoul ⏐ 부 산시 371 940 371 295 1 880 710 1 877 213 939 530 937 683 3 497 1 826 212 568 207 410 5 158"
가구,1973,44,13. 시ㆍ도별 가구ㆍ인구 및 주택 : 1970,"42-인구 ⏐ 13. 시 • 도별 가구 • 인구 및 주택 : 1970 ⏐ NUMBER of HOUSEHOLDS, POPULATION and HOUSING UNIT by PROVINCE : 1970 ⏐ ※ 1970년 총 인구 및 주택조사 자료임 ※ Dcia are based on 1970 Population ond Housing Cantus ⏐ 가 구 인 구 ⏐ Household Population Living quarter ⏐ 계 한국인 계 한 KOreOn 인 외 국 인 계 주택 [주택 이 외 ⏐ Foreigners Other ⏐ Boi, 정0K0s Mo 여 계 남 여. Housing than ⏐ Total Korean Total Female Both Male Female Total unifs housing ⏐ Nholocom 국: 588544058569011465654 31 435 25215779 615 15 655 637 30402 16062 14 3404 414 7524 359 962 54 790 units ⏐ 서울특별시 1 096 871 1 094 648 5 535 725 5 525 262 2 762 190 2 763 072 10 463 5 596 4 867 607 379 583 612 23 767"
가구,1974,42,13. 시ㆍ도별 가구ㆍ인구 및 주택 : 1970,"42-인 구 ⏐ 13. 시 • 도별 가구 • 인구 및 주택 : 1970 ⏐ NUMBER Of HOUSEHOLDS, POPULATION and HOUSING UNIT by PROVINCE ⏐ ※ 1970년 총 인구 및 주별조사 자료임 ※ Data are based on 1970 Popularion and Housing Census ⏐ 가 구 인 구 거 처 ⏐ Porulaton Living_quarter ⏐ 한국인 게 한 국 인 외 국 인 계 주택 ! 이 외 7 추택 ⏐ Housetold Korean Foreigners Other ⏐ Korean Tetal 계 남 요 계 남 여 Housing thon ⏐ Both sexes Male Female Both Male Femaie Total Units housing ⏐ seXes Units ⏐ Mholocounty 국 5863440 5850 901 31 485 54 31 435 252 15 779 615 15 855 637 30 402 16 062 14 340 A 414 752 4 359 962 54 790"
가구,1974,43,15. 시ㆍ군부별 가구,Population-43 ⏐ .5. 시•군 부 별 가구 ⏐ HOUSEHOLDS by AlL SIs and AIL GUNS ⏐ -※센시스 자료일 ※ Datce ora boeod on canaucee ⏐ 가 • 구 Number of households 가구당인구 - Populaion per household- ⏐ 1955 1960 1966 19702) 1955 1960 1966 1970 ⏐ 전 국 Whole countty 3 801 947 4 377 973 5 191 507 5 856 901 5.66 §.71 5.62 5.37 ⏐ 서울특별시 City of Seoul 281 601 446 874 734 334 1 094 648 5.57 5.47 5. 18 5.05 ⏐ 부 산시 Busan City 189 900 211 101 271 512 371 228 5. 50 5.51 5.27 5.06 ⏐ 경기도 Gyeong-gi Do 415 536 493 060 558 157 640 389 5.68 5.57 5.57 5.24 ⏐ 강원 도Gang-woon Do 249 245 308 088 339 361 352 176 6.0 5.31 5.40 5.30 ⏐ 충청북도Chungcheong Bug Do 211 572 231 844 261 533 261 981 5.63 5.91 5.93 5.65
가구,1975,44,13. 시ㆍ도별 가구ㆍ인구 및 주택:1970,"42-인구 ⏐ 13. 시 • 도별 가구 • 인구 및 주택:1970 ⏐ NUMBER of HOUSEHOLDS, POPULATION and HOUSING UNITS by PROVINCES ⏐ ※ 1970년 종인구 및 주택조사 자료임 ※ Data are based on 1970 Population and Housing Census ⏐ 인 구 거 처 ⏐ 가 구 Population Living quarters ⏐ 한국인 계 한 국 인 외 인 계 주택 이 수 오 ⏐ Korean Foreigners Other ⏐ Households 계 남 Fsindlo 계 남 여 | Housing thon ⏐ Korean Total Both sexes Male Both Male I Female Total units hous ing ⏐ sexes I units ⏐ 전 국 5 863 440 5 856 901 3| 465 654 3| 435 252 15 779 615 15 655 637 30 402 16 062 14 340 4 414 752 4 359 962 54 790"
가구,1975,45,15. 시ㆍ군부별 가구,Population-43 ⏐ 15. 시 •군부별가구 ⏐ HOUSEHOLDS by Sl and GUN ⏐ ※ 센서스 자료임 ※ Data are based on censuses ⏐ 가 구 Number of households 가구당인구 Persons per household ⏐ 1955 1960 1966 19703 1955 1960 1966 1970 ⏐ 전 국 Whole Country 3 801 947 4 377 973 5 191 507 5 856 901 5 6 57 5 62 5.37 ⏐ 서울특별시 City of Seoul 281 601 446 874 734 334 | 094 648 5 57 5 47 5.18 5 05 ⏐ 무 산 시 Busan City 189 900 2|1 101 271 512 371 228 5 50 5 S1 5 27 5 06 ⏐ 경기 도 Gyeong-gi Do 415 536 493 060 558 157 640 389 5 68 5 57 5 57 5 24 ⏐ 강원 도 Gang-weon Do 249 245 308 088 339 361 352 176 6 ㆀ 5 31 5 40 5 30 ⏐ 충청북도 Chungcheong Bug Do 211 572 23| 844 261 533 261 981 5 63 5? 5 93 5 65
가구,1976,37,13. 시ㆍ군부별 가구,Population-35 ⏐ 13. 시 •군부별가구 ⏐ Households by Si and Gun ⏐ ※ 엔서스 자모임• ※ Data cre based on censuses ⏐ 가 구 Number of households 가구당인구 Persons per household ⏐ 1955 1960 1966 1970 1975 1955 1960 1966 1970 | 1975 ⏐ 전 국 Whole Country 3 801 947 4 377 973 5 191 507 5 856 901 6 757 221 5 66 5 기 5 62 5 37 5 13 ⏐ 서울록별시 City of Seoul 281 601 446 874 734 334 1 094 648 | 408 417 5 57 5 47 5 18 5 05 4 88 ⏐ 부 산 시 Busan Cty 189 900 211 101 271 512 371 228 503 220 5 50 5 51 5 27 5 06 1 87 ⏐ 경기도 Gyeong-gi Do 415 536 493 060 558 157 640 389 816 465 5 68 5 57 5 57 5 24 4 94 ⏐ 강원도 Gangweon Do 249 245 308 088 339 361 352 176 361 960 6 ㆀ0 5 31 5 40 5.30 5 14 ⏐ 충청북도 Chunecheong Bug Do 211 572 23| 844 261 533 261 981 280 735 5 63 § ? 5 93 5 65 5 42
가구,1977,37,12. 시ㆍ군부별 가구,Population--37 ⏐ 12. 시 •군부별가구 ⏐ Households by Si and Gun ⏐ ※ 센서스자료임. ※ Data are based on censuses. ⏐ 가 구 Number of households 가구당인구 Persons per household ⏐ 1955 1960 1966 19702) 1975 1955 1960 1966 1970 1975 ⏐ 전 국 Whole Country 01 947 4 377 973 5 19i 507 5 856 901 6 757 221 5.66 5.71 5 62 5.37 5. 13 ⏐ 서울특별시 City of Seoul 601 446 874 734 334 648 - 408 417 5.57 5.47 5.18 5.05 4.88 ⏐ 부 산 시 Busar Cty 900 211 101 271 512 228 503 220 5.50 5.51 5.27 5.06 4.87 ⏐ 경기 도 Gyeong-gi Do s 536 493 060 558 157 389 816 465 5.68 5.57 5.57 5.24 4.94 ⏐ 강원 도 Gang-weon Do 245 308 088 339 361 176 361 960 6.00 5.31 5.40 5.30 5. 14 ⏐ 충청북도Chungcheong Bus Do 572 231 844 261 533 981 280 735 5.63 5.91 5.93 5.65 5.42
가구,1978,41,12. 시ㆍ군부별 가구,"Popuation-41 ⏐ 12. 시•군부별가구 ⏐ Households by si and Gun ⏐ ※ 센서스자료임. ※ Data cre based on censuses. ⏐ 가 구 Numbar of hauseholds | 가구당일 7 Persons per household ⏐ 1955 1960 1963 19701 1975 |1955 7960 1966 1970""| 1975 ⏐ "" ⏐ 전 국 Whole Countty 3 801 947 4 377 973 5 191 507 5 856 901 6 761 239 5.66 5.71 5.62 5.37 5.13 ⏐ 서울특별시 City of Seoul 281 601 446 874 734 334 1 094 648 1 409 577 5.57 5.47 5.18 5.05 4.89 ⏐ 부산 시 Buscnh City 189 900 211 101 271 512 371 228 503 813 5.50 5.51 5.27 5.06 4.87 ⏐ 경기도Gyoong-gi Do 415 536 493 060 558 157 640 389 817 181 5.68 5.57 5.57 5.24 4.94 ⏐ 강원 도 Gang-weon Do 249 245 308 088 339 361 352 176 362 057 6.00 5.31 5.40 5.30 5. 14"
