series,edition,page,table,header
주택,1978,46,15. 구ㆍ시ㆍ군별 가구ㆍ인구 및 주택,46-인 구 ⏐ 15. 구•시•군별 가구·인구 및 주택 ⏐ ※ 센서스 자료임 ⏐ 가 구 Household 인 구 ⏐ 제 한국 인 외국 인 졔 남 여 한 ⏐ Total Korean Foreigner Both sexas Male Female 계 ⏐ Both sexes ⏐ 1 9 7 03 5 863 440 5 856 901 6 539 30 882 386 15 216 002 15 666 384 30 851 984 ⏐ 1 9 7 53 6 761 239 6 754 257 6 982 34 706 620 17 461 244 17 245 376 34 678 972 ⏐ 서 울 특 별 시 s7 - 406 980 06 889 502 3 432 182 3 457 320 6 879 464 ⏐ 로 주꾸구주 67 44] 333 970 164 378 169 592 333 049 ⏐ 57 427 284 832 142 978 141 854 281 832
주택,1979,46,15. 구ㆍ시ㆍ군별 가구ㆍ인구 및 주택,46-인구 ⏐ 15. 구• 시 • 군별 가구 • 인구 및 주택 ⏐ ※ 센서스 자료임 ⏐ 가 구 Household 인 7 ⏐ 계 한.국일외 국 일 계 남 여 한 ⏐ Total Korean Foreigner Both saxas Male Female 계 ⏐ Both sexes_ ⏐ 1 9 7 013 5 863 440 5 856 901 6 539 30 882 386 15 216 002 15 666 384 30 851 984 ⏐ 197 53 6 761 239 6 754 257 • 982 34 706 620 17 48| 244 17 245 376 3 678 972 ⏐ 서 울 툭 별 시 1 406 980 6 889 502 3 432 182 3 457 320 6 879 464 ⏐ 로 67 441 333 970 164 378 169 592 333 049 ⏐ 57 427 284 832 142 978 141 854 281 832
주택,1980,44,"14. 구ㆍ시ㆍ군별 가구, 인구 및 주택","44-인 구 ⏐ 14. 구•시 • 군별 가구, 인구 및 주택 ⏐ ※ 센서스 자료임 ⏐ 가 ㅜ Household 인 구 ⏐ 계 한. 국 인 외 '국인 계 남 여 한 ⏐ Total Korean Foreigner Both sexes Male옓 Female 계 ⏐ Both sexes_ ⏐ 1 97 00 5 863 440 5 856 901 6 539 30 882 386 15 216 002 15 666 384 30 851 984 ⏐ 1 9 7 5 6 761 239 6 754 257 6 982 34 706 620 17 461 244 17 245 376 34 678 972 ⏐ 서 울 특 별 시 1 409 577 1 406 980 2 597 6 889 502 3 432 182 3 457 320 6 879 464 ⏐ 로 44] 333 970 169 592 333 049 ⏐ 427 284 832 141 854 281 832"
주택,1981,44,"6. 구ㆍ시ㆍ군별 가구, 인구 및 주택(1980)","4-I. 인 구 ⏐ 6. 구·시 •군별 가구, 인구 및 주택 (1980)P) ⏐ # 센서스 자료임 ⏐ 가 구 Househok 인 구 ⏐ 계 한국인외국인 계 남 여 한 국 ⏐ 계 남 ⏐ Tolal Korean Foreigner Both sexes Male Female Both sexes Male ⏐ 전 국 7 560 Ses 7 971 147 5 842 37 448 830 18 764 130 lE 004 706 37 415 39C IE 746 373 ⏐ 서울록별시 1 E41 555 1 626 152 5 367 E 366 7St * 168 TCC + 158 056 8 353 005 • 159 947 ⏐ 종숭용성동성 도은서마감구 영동관강강 로 •t5 254 C5 103 292 175 143 14e E15 291 452 143 C8s ⏐ 구구구구구 구구쿠구구구 구구구구구 시 구구쿠구구 구구구구소 도 시구구구구 시시시시시 군군군군군 5: 74E 5< 518 242 664 122 &2C 258 238 556 119 006 ⏐ 산동 75 81€ 74 578 333 427 165 le8 143 33C ¢31 103 551"
주택,1982,44,"6. 구ㆍ시ㆍ군별 가구, 인구 및 주택(1980)","44-I. 인 구 ⏐ 6. 구.시 • 군별 가구, 인구 및 주택 (1980)®) ⏐ ※ 센서스 자료임 ⏐ 가 구 Household 인 구 ⏐ 계 한국인외국인 님 여 한 국 ⏐ 졔 남 ⏐ Total Korean Forelgner Both sexes Male Female Both sexes Male ⏐ 전 국 1980 98y 7 972 147 9 842 37 448 836 18 764 130 18 084 706 37 489 390 38 746 373 ⏐ 서울특별시 5367 8 756 4 98 056 4 159 947 ⏐ 1:3 148 815 l43 ⏐ 120 298 119 ⏐ 840 168 143 163"
주택,1983,44,"6. 구ㆍ시ㆍ군별 가구, 인구 및 주택(1980)","44-I인 구 ⏐ 6. 구.시 • 군별 가구, 인구 및 주택 (1980) ⏐ ※ 샌시.스 자요임 ⏐ 가 구 Household ' 인 구 ⏐ 계 한국 • 인외 국인 계 남 여 한 ⏐ 계 남 ⏐ Total Korean Foregner Both sexes Male Female Both sexes Male ⏐ 전 국 7 978 605 7 969 201 6 37 436 id 70 13 65+ I!+ 37 * 315 13 749 336 ⏐ 서 울특별시 1342 239 ~ 336 8 35< t;} ~ 35 54 35) 016 * 160 054 ⏐ 않동별음 평만의복을히남유보지는 보보습습밝고 남뚱도번았있 799 ⏐ ~ ?2 ⏐ 0?C 163"
주택,1984,44,"6. 구ㆍ시ㆍ군별 가구, 인구 및 주택(1980)","44-II. 인 구 ⏐ 6. 구 •시 • 군별 가구, 인구 및 주택 (1980) ⏐ ※ 센서스 자료임 ⏐ 가 구 Household 1) 인 구 ⏐ 계 한국 인외국인 계 남 여 한 국 ⏐ 계 남 ⏐ Total Korean Foreigner Both sexes Male Female옓 Both sexes Male ⏐ 전 7 *78 005 7 969 201 9 40437 436 325 18 767 201 18 639 114 37 406 815 18 749 306 ⏐ 초 롱 & 842 239 1 836 903 녀 364 379 4108 875 4 195 534 & 350 626 4160 033 ⏐ 198 65 071 483 143 685 Tㅓa ⏐ 71? 5Z 888 ~ 584 222 356 228 ⏐ 359 74 522 525 165 505 020"
주택,1985,44,"6. 구ㆍ시ㆍ군별 가구, 인구 및 주택(1980)","44-I 인 구 ⏐ 6. 구•시 • 군별 가구, 인구 및 주택 (1980) ⏐ ※ 센서스 자료임 ⏐ 가 구 Household "" 인 구 ⏐ 계 한국인외국인 계 남 여 한쇛 국 ⏐ 계 남 ⏐ Total Korean Forelgner Both sexes Male옓 Female Both sexes Male ⏐ 전 국 7 978 605 7 969 201 404 315 18 767 201 18 669 114 37 406 825 18 749 306 ⏐ 서옴특별시 너 336 168 875 * 195 ® 350 616 160 059 ⏐ 촣모 127 143 685 148 291 960 ⏐ 2-824 322 356 120 238 476 ⏐ 837 165 505 168 330 730"
주택,1986,46,"6. 구ㆍ시ㆍ군별 가구, 인구 및 주택(1985)","46 -I. 인 구 ⏐ P) ⏐ ※ 센서스 자료임 ⏐ 가 구 Household "" 인 구 ⏐ 계 한 인 외 국 인 계 남 여 한 국 ⏐ 계 남 ⏐ Total Korean Foregher Both sexes Male Female Both sexes Male ⏐ 전 국 9 588 723 9 575 356 13 367 40 720 40 432 397 20 259 958 ⏐ 서울특별시 2 333 316 2 325 395 7 919 9 645 932 4 806 844 4 839 088 9 628 552 4 795 854 ⏐ 종중용 로 구 66 406 66 154 252 256 183 130 936 135 247 265 498 130 499 ⏐ 산추 55 920 52 920 3 000 212 235 106 709 105 $26 208 187 103 426 ⏐ 81 963 80 162 1 801 326 827 161 674 165 153 322 ④96 158 937"
주택,1987,46,"6. 구ㆍ시ㆍ군별 가구, 인구 및 주택(1985)","46 -I. 인 구 ⏐ 6. 구•시 • 군별 가구, 인구 및 주택 (1985) ⏐ ※ 셀서스 자료임 ⏐ 단위 : 명 ⏐ 가 구 Household "") 인 구 ⏐ 계 한국 인 외 국 인 계 남 여 한 국 ⏐ 계 남 ⏐ Total Korean Foregner Both sexes Male Female Both sexes Male ⏐ 전 국 9 582 055 9 571 361 10 694 40 448 486 20 243 765 20 204 721 40 419 652 20 227 564 ⏐ 서울특별시 2 329 376 2 324 289 9 639 110 4 795 ¢86 4 846 024 4 787 720 ⏐ 총중 로 8 315 66 168 265 897 130 488 13$ &09 342 130 165 ⏐ 53 837 52 900 209 £58 10 046 105 612 208 085 103 089"
주택,1988,46,"6. 구ㆍ시ㆍ군별 가구, 인구 및 주택(1985)",46 - I. 인 구 ⏐ ※ 센서스 자료임 ⏐ 단위 : 명 ⏐ 구 ⏐ 한맠국 ⏐ 계 남 ⏐ Both sexes Male ⏐ 전 국 9 582 055 g 571 361 10 684 ⏐ 서 울 특 별시 2 329 374 2 324 219 5 155 9 638 110 4 795 086 4 844 024 g 825 755 4 787 720 ⏐ 홓 로 88 315 86 188 147 265 897 130 488 135 409 285 342 130 185 ⏐ 53 837 52 900 937 209 658 104 046 105 612 208 085 103 089 ⏐ 81 777 80 113 1 864 326 076 180 919 185 157 321 791 158 551
주택,1989,48,"6. 구ㆍ시ㆍ군별 가구, 인구 및 주택(1985)","46 -I. 인 구 ⏐ 6. 구• 시 • 군별 가구, 인구 및 주택 (1985) ⏐ ※ 센서스 자료임 ⏐ 단위 • 명 ⏐ Household "" 구 ⏐ 한국인외국인 한국 ⏐ 계 남 ⏐ Foregner Both sexes Both sexes늅 Male ⏐ 전 국 8 582 055 g 571 381 ⏐ 서 울특별시 2 329 374 2 324 219 5 155 ⏐ 구구 66 315 68 168 337 265 897 135 409 265 342 130 165 ⏐ 중용 53 837 52 900 209 658 105 612 208 085 103 089"
주택,1990,44,"6. 구ㆍ시ㆍ군별 가구, 인구 및 주택(1985)",42-ㅍ. 인 ⏐ ※ Aㅁ 및 #촌센서스 차임. ⏐ 단위 : 명 ⏐ 구 ⏐ 외국 인 한 국 ⏐ 계 님 ⏐ Foregner Both sexes Male얧 ⏐ 전 9 582 055 8 571 361 ⏐ 서 울특 별시 2 328 374 2 324 219 4 844 024 9 625 755 4 787 720 ⏐ 265 342 130 165 ⏐ 53 837 52 900 209 658 104 046 105 612 208 085 103 089 ⏐ 산 81 777 80 113 1 664 326 078 160 919 165 157 321 791 158 551
주택,1991,44,"6. 구ㆍ시ㆍ군별 가구, 인구 및 주택(1990)","42-II. 인구 ⏐ ※ 1990.11,1 Aㅁt은제읽는휘쏟 ⏐ 단위 • 명 ⏐ 가 구 Household"") 인 구 ⏐ 계 한국 인 외국인 계 남 여 한국 인 Korean ⏐ Total Korean Forelgner Both sexes Male Female옓 계 여 ⏐ Both sexes Female ⏐ 전 국 11 303 718 11 357 180 844 844 21 675 355 43 499 674 21 833 809 21 868 085 ⏐ 서 울특별시 2 820 168 2 817 251 336 684 5 291 128 10 618 463 5 331 680 5 286 783 ⏐ 홍로쿠 86 377 66 268 122 349 120 906 242 815 122 128 120 88? ⏐ 53 240 53 079 94 540 93 403 187 180 94 111 93 069 ⏐ 산 구 83 109 82 023 1 086 152 159 152 375 301 776 150 685 151 091"
