계열,판,쪽,표제목,header
인구,1962,38,29. 도별 인구분포,"20ㅅ지 ⏐ 28 ㅅㅁㅀ☆몬하페뻤및 ㅅA ⏐ NUMBER OF CITIES, EUB AND MYEON, AND POPLATION BY POPULATION SIZE ⏐ 1925 1930 1935 1940 ⏐ 불맛 15#본 ⏐ Actual figure옓 Ration Actual figure쵸 Ration Actual figure Ration Actual figure쵸 ⏐ 묻 문 ⏐ 봤ㅅR 봤ㅅㅁm ⏐ Citles, ㅅ Population Ctres, Popul- Crties, ㅅ A Cities, Popul~|Citres, ㅅ Cities, Popul~ Cities, ㅅ ⏐ eub andl eub and, ation eub and. Population leub and ation eub and Population eub and ation eud and Population ⏐ myeon myeon myeon Imyeon myeon lmyeon Imyeon ⏐ ※콩 ※ Totall 2515 19 522 945 100.0 100.0 2 478 21 058 305 100.0 100.0 2 407 22 899 038 100.0 100 0 2 352 24 326 327"
인구,1962,40,32. 연령별 교육정도별 인구,22 ㅅ ⏐ 32수B비☆파포☆비스다 ⏐ 주붓의 하화는 1955속 9 시 1F 평표의 태출해소의 앞부에 상함 ⏐ 을 받 은 ⏐ llterate Ltarat e ⏐ 쨘 ⏐ 릅 Understand(Korean) Elementary school Middle school ⏐ Total Maie Totdl Male 봇 ⏐ Total Male Tota! Male Totat Male ⏐ 유은통 Total 3190 893 857 917 9496 505 5021 346 5 080 087 2 285 191 3 313 888 1 898 408 734 643 553 038 ⏐ 6* years - - ⏐ 7 ㅡ - - ㅡ 1 - - -
인구,1963,38,30. 도별인구분포,"2ㅅㅁ ⏐ 29 ㅅ그☆벶리페및ㅅR ⏐ NUMBER OF CIIIES, EUB AND MYEON, AND POPULATION BY POPULATION STZE ⏐ 1925 1930 1935 1940 ⏐ # 바 좀 ⏐ Actual figure Rat1o Aciual tigure Ratio Actual figure Rat1o Actual figure ⏐ 문 ⏐ ㅅ ㅅㄸ ㅅ ㅅR 홨 ㅅ ㅅㅁ ㅅ ⏐ Cities, Population Citles, Popul- CItres, Population Cities, Popul- Citres, Population Citles, Popul- Cities, Populatton ⏐ eub and eub and ation eub and eub and at!on eub and eub and aTlon eub and ⏐ myeon myeon imyeon myeon myeon myeon ⏐ ※ Total 2515 19 522 945 1000 2 478 21 058 305 100 0 100 0 2407 22 899 038 100 0 100 0 2352 24 326 327"
인구,1963,40,33. 도별 연말상주 인구분포,"22 ㅅㅁ ⏐ 33 월비슈카#쓰ㅅ0 A H ⏐ POPULATION BY PROVINCE (1962 YEAR END DE JURE POPULATION) ⏐ *있는 1962속 12년 1 B 평쇼의 속*소ㅅㅁ출*못임 Flgures are based on “Population Savey"" taken as of Dec 1.1962 ⏐ 26=(16폐)#출무 See the foot note, Table 26(P 16) ⏐ ㅅ XA표폐 * -차지밥 ⏐ 샤비카빛끝"" Population (1주)\쯉) 주워스트봤 ⏐ Province Area (5q km) (주H\) Household ☆ Denslty Average persons ⏐ Total Male Female (per sq km) per household ⏐ Total 98 431 4 539 071 26 277 635 13 145 289 13 132 346 267.0 5.79 ⏐ 서 울#빛다 Seoul Special city 613 554 136 2 983 324 1 477 421 1505 903 4 866 8 5.3€ ⏐ 쑈 Busan city 360 230 298 1 270 625 625 938 644 687 3 529 5 5.52"
인구,1963,46,37. 교육정도별 인구수,"28 ㅅ n ⏐ 37룸제꽃몬스그봤. ⏐ 33분(22폐)의 초뼈호 존제 ⏐ ☆초의 화급제표는 기하부금 편표하무을 주복 및 ☆늘음화로 습습 마A한 것으로 지하부라 함은 6니노의 해용하지 않은 끝와 태로주, -4녀가류를 ⏐ 말하며 찻는 T항습나 12L 노에 하여 한글을 읽고 쓸줄 아는 와 읽을수만 있거나 쓸수만 있거나 또는 소 모르는※를 표슈하였음 횡표 ⏐ 화루는 출깃T을 못하고 표치주신의 조주소을 말하며 삼채만, S저E, 깔. 강화과주산 및 하14류 +달풍산쏭은 8사되었음 시크, 소모무☆ 해부산 및 ⏐ 샴푸노파쿠친는 표현물소로 범하였음 스무차에는 해유스또 스트, 앱품트산를 신울하였음 ⏐ Not on the student enrollment ⏐ 12차QK삿패뽀떼 ⏐ 65k~12#*까 Literate or llliteracy over 12 years ⏐ Total 6years over~12years less 안 다 모 른 다 ⏐ Province Understand (Korean) lihiterate"
인구,1964,35,28. 도별 인구분포,"Population 17 ⏐ 27 ㅅ지원*비하페및 ㅅㅁW ⏐ NUMBER OP POPULATON, CIIES, Ead AND Myeon BY POPULATION SIZE ⏐ 1925 1930 1935 1940 ⏐ # 좀 K 빨 불앗 ## E ⏐ Actual figure쵸 Ratio Actual figure Ratio Actual figure Ratio Acfual figure ⏐ 흠ㅄㅅㅁ 귀 표ㅄㅅㅁ 품ㅄㅼ ⏐ ㅐㅶㅅㅁ ㅐㅫㅅㅁ ⏐ Citles, Cities, Popul- Cites, Cties, Popul- Cifles, Ciies, | Popul- Ciies, ⏐ eub and Population eub and ation eub and Popuiation eub dnd ation. eub and Population eub and af:on eub and Population ⏐ myeon myeon myeon myeon myeon myeon myeon ⏐ Total 2515 19 522 945 100.0 100.0 2 478 21 058 305 100. 0 100. 0 2 407 22 899.038 100. 0 100.0 2 352 24 326 327"
인구,1964,54,"41. 시, 군, 구별 가구, 성 및 연령별 인구","3ㅅ ㅁ ⏐ 41 라, 햄, 표일 했ㅁ, 또또 및 쇼합에ㅅD ⏐ POPULATION BY HOUSEHOLDS, SEX, AGE, AND DISTRICT ⏐ #의 캄봤는 19604 센서스 ※부로서 핏ADBEL곳과는 꽃가 있음으로 쇼찌를 +번들의 쇠표법을 활흥할것. ⏐ Since the result of 1960 census was used, the classtication of the districts in thus tasle is shghtly dufterent tron the present administrative districts. For this, ⏐ It is recommended to refer to the adminstrative dstricts in the Chapter ""tand"". ⏐ ㄱ ㅅ 슈 표즙 53 ⏐ Households Populations Age ⏐ District :캬뼈 맛 ☆ ~13 13~59ㅫ 60패~ ⏐ years years ⏐ 홍한 봤 Total 1 501 577 ⏐ 서울#It Seoul Spacial City 790 887 1 565 719 87 115"
인구,1965,35,28. 도별인구분포,"• Population 17 ⏐ 27 ㅅㅁ년#인하운터및 ㅅ니W ⏐ NUMBER OF POPULATION, CITIES, Eub AND Myeon Bx POPULATION SIZE ⏐ 1925 1930 1935 1940 ⏐ # ME #개 사 ⏐ Actud! figure Ralio Actea Figure Rofio Actugl ligure Rario Actual figure ⏐ 5 문 닭ㅅ ㅄㅅ ⏐ 대 # ㅅ 퍼ㅵㅅ ㅅㅁ ㅁ ㅌㅴㅅ ㅁ ⏐ Civies. Chies, Popu• Ciies. Ciligs, Popul- Ciries. Cilios. Pogul• Ciries, ⏐ eub ond Populalion evb and eub on Populction eub ond eub ad Popularion eub ond arion eub ond Pooolation ⏐ myeon myeon my8on mycon mycon mVeOn my∞3 ⏐ 존뾰 Toral 2515 19 522 945 100. 0 100. 0 2 478 21 058 305 100. 0 100. 0 2 407 22 899 038 100. 0 100. 0 2 352 24 326 327"
인구,1965,55,44. 도별가구 및 인구수(1964),"Popularion 37 ⏐ 44 ☆ㅁ및ㅅ다 포 (1964) ⏐ HOUSEHOLD AND POPULATION BY PROVINCE ⏐ ㅎㅄ는 주ㅊREㅅㅁ매표용표로시 1964+12/ L터 유마필A로 해쇼된것임. *나하는 TB떠A키AO를 쏘켜할여 충격하고 속꽈에 ㅅㅁ원 년져할때는 26%% ⏐ (16M)의 ARE밖에 포된 표하Ao을 공용할것 ⏐ 해표선사는 곳0이며 하과되싶는 #아몸요*임. 깜매금또합라함은 표B은 25m으로 하여 한 꽃에서 3셔비노 물요하였거나 몸손하려는 카물 말함. ⏐ 년 -한 오없이 그 콤소베어이 3등에 표하지 아니하는 또는 행포타필T에 전금하는 참F에서 동성하였음. 편픽에 있어서는 ₩보나 소독을 포화하고 함 ⏐ 씨에 문소하는 와 해세하ㄵ요T. 가#용없표금 공요및법법적은 습T에서 피표하였음 사료지다 가ㅅ 파히, 가포함. 도었볶습 또는 가업관대의 소화로 최도 ⏐ 야인큼 및 그 촛은 표하지 않었음. ⏐ Tbis wble is a resull of Yearend Dejure Population Couml, as of 00:01 a.m, Decenber 1, 1964. The hgures in Lhis table refer to Lhe population by adrain. ⏐ iouative disaices. and please rele. Lhe hgures of esrimatod popularion sbown in the Populaion Trends, Tablez6. Pagel6. or the populauion by year. ⏐ The mume aion unui is bouseholds, and cover the dcjune population. Tbe wording ""dejure popilation' was defned as.cbose persons wha had or would have"
인구,1965,58,"48. 시, 군, 구별 가구 및 성, 연령별 인구","80 ㅅㅁ ⏐ 48 금. 밝, 트레 했ㅁ 및 또. 슈빠비시! ⏐ 0*(시퍼)의 코먹포 금끗 ⏐ 뻤 ㅅ ‡ ⏐ Housoholds Populotions Age ⏐ Districh #묘 맛 ☆ ~13 14~$9 60차~ ⏐ Torol farm Non-tum Toldl Malo Femolo Ycars yeors years ⏐ #빛Joa 4 769 533 2 439 964 2 829 589 28181 096 14144089 14 037 027 11 890 307 15 227 227 1 583 512 ⏐ 서울# 멤카 633 026 17 658 ⏐ 4| 825 ⏐ # Jung-gu 3| 541 ⏐ 89 479 | 264"
