계열,판,쪽,표제목,header
임야,1982,144,30. 영림서 및 시ㆍ도별 임야 면적,144-IV. 농립 어업 ⏐ 30. 영림서 및 시•도별 임야면적 ⏐ Area of Forest Land by Administrative District ⏐ ※ 미조사 면적이 총계란에 포함되어 있으므로 세부내용과 ※ Details do not add up to total due to mclusion of uitsurveyed ⏐ 총계가 일치하지 읺음 area. ⏐ 단위 1000 ka In.1000la ⏐ 국 유 림 National forest 민 유 림 Non-natonal ⏐ 총 계 산림 청소관 Under 공 유~ 림 ⏐ 계 탈부처 계 사유림 ⏐ Office of Forest 관 Pubhc owed forest ⏐ 도유림싱•쿨 ⏐ 요존림 불요존림 Under 유
임야,1983,144,29. 영림서 및 시ㆍ도별 임야 면적,144- M 농림 어업 ⏐ 29. 영림서 및 시 • 도별 임야면적 ⏐ Area of Forest Land by Administrative District ⏐ ※ 니소가 멱석이 손계란에 포함되어 있으!3. 세부내운이 x Detals do not ald up to roral du to melusson of usurseyed ⏐ 동계가 일치하지 읺음 area ⏐ 니위 1000 la L1 1000ta ⏐ 국 유 림 Natonal forest 민 유 림 Non-national ⏐ 총 계 공 유 ⏐ 계 산림청소관 Lnder -단부천 계 사 유림 ⏐ Office_of Forest Pubhc owed forest ⏐ 요존림 불요존림 .Under 도 유 림 시 •군 ⏐ the other 유 림 Private
임야,1984,136,32. 영림서 및 시ㆍ도별 임야 면적,"136- I. 농립- 어업 ⏐ 32. 영림서 및 시• 도별 임야면적 ⏐ Area of Forest Land by Administrative District ⏐ ※ 미조사 면적이 종계란에 포함되어 있으므로 세부내용과 ※ Details do not add up to total due wo Inelusion of unsurveyed ⏐ 총계가 일치하지 않음. arean ⏐ 단위 : 1000 ha In 1000ha ⏐ 국 유 림 Natronal forest 민 유 림 Non-natonal ⏐ ^~ 총 계 ""ㆄ 유 ⏐ 계 졔 림 사유림 ⏐ Office of Forest Puble owned forest ⏐ 요존림 불요존림 Under ⏐ Indis- the other Privati"
임야,1985,136,32. 영림서 및 시ㆍ도별 임야 면적,"136-IN 농림• 어업 ⏐ 32. 영림서 및 시 • 도별 임야면적 ⏐ Area of Forest Land by Administrative District ⏐ ※ 미조사 면적이 총계란에 포함되어 있으므로 세부내용과 ※ Detalls do not add up to total due to mnclusion of unsurveyed ⏐ 종계가 일치하지 않음 area ⏐ 단위 1000 ka In 1000kc ⏐ 계 국 유 림 Natronal forest 민 유 림 Non-natronal ⏐ 총 ⏐ 사림청소관 Under 공 유 림 ⏐ 계 Offce of Forest 탓부최 계 Publhc ouned forest 사유림 ⏐ 관 ⏐ 요존림 불요존림 Under 도 유 림징."""
임야,1986,140,32. 영림서 및 시ㆍ도별 임야면적,140 - W. 농림• 어업 ⏐ 32. 영림서 및 시 • 도별 임야면적 ⏐ Area of Forest Land bv Administrative District ⏐ ※ 미조사 면적이 총계란에 함되어 있으므로 세부내용과 ※ Details do not add up to total due to inclusion of unsurveyed ⏐ 총계가 일치하지 않음 area. ⏐ 단위 : 1000 ka In 1000he ⏐ 국 유 림 National forest 민 유 림 Non-national ⏐ 총 계 ⏐ 계 산림청소관 Under 탔부칩 계 공 유 사유림 ⏐ Otfice of Forest Pubhc oumed forest ⏐ 요존림 불요존림 Under 동유밀 수 굴 ⏐ the other Provmee Prrvate
임야,1987,138,32. 영림서 및 시ㆍ도별 임야면적,138 - IV. 농림•어업 ⏐ 32. 영림서 및 시 • 도별 임야면적 ⏐ Area of Forest Land by Administrative District ⏐ ※ 미조사 면적이 총제란에 포함되어 있으므로 세부내용과 ※ Detalls do not add up to total dve to mclusion of unsurveyed ⏐ 총계가 일치하지 않음. area ⏐ 단위 : 1000 ka슋 In 1000ha ⏐ 국 유 림 National forest 민 유 림 Non national ⏐ 총 계 ⏐ 계 산릴청소관 Under 타 부 처 계 유 림 사 유림 ⏐ Office of Forest Publhe onmed forest ⏐ 도유림쉬•출 ⏐ 요존림 불요존림 Under
임야,1988,138,32. 영림서 및 시ㆍ도별 임야 면적,138 - I. 농림 어업 ⏐ 32. 영림서 및 시 • 도별 임야면적 ⏐ Area of Forest Land by Administrative District ⏐ ※ 미조사 면적이 총계란에 포함되어 있으므로 세부내용과 ※ Detalls do not add up to total due to nclusion of unsurveyed ⏐ 총계가 일치하지 않음. area ⏐ 단위 : 1000 ke Im 1000ka ⏐ 국 유 림 Natonal forest 민 유림 Non-national ⏐ 총 계 ⏐ 계 계 공 유 사 유림 ⏐ Pubic omed forest ⏐ 요존림 불요존림 Under 도 유 림 사 •군 ⏐ the other Provnce 유림 Private
임야,1989,142,32. 영림서 및 시ㆍ도별 임야면적,140-WV 농립 어업 ⏐ 32. 영림서 및 시• 도별 임야면적 ⏐ Area of Forest Land by Administrative District ⏐ * 미조사 면적이 총계란에 조함되어 있으므로 세부내용과 ※ Detanls do not add up to total due to mnclusion of unsurveyed ⏐ 총계가 일치하지 않음 area ⏐ 단위 1000 ka In 1000ka ⏐ 국 유 림 Natonal torest 민 유 림 Non-national ⏐ 총 계 사림청소관 Inder 탄부첩 공 유 림 ⏐ 계 Olfice ot Forest 계 Public owned forest 사유림 ⏐ 요존룀 불요존림 .Under 도유림 군유림 ⏐ the other Provnce trivate ⏐ Inds- govertr- owned Gun owned
임야,1990,138,32. 영림서 및 시ㆍ도별 임야면적,136- I. 농림 • 어업 ⏐ 32. 씁*뽑 및 하게 샤뽀미저 ⏐ Area of Forest Land by Administrative District ⏐ ※ㅊ럽갈페N이 유큐N에 포함되어 있으므로 월콤S치씀과 * Detalls do not add up to total due to mnelusion of unsurveyed ⏐ 유견가가 하지 않음. ⏐ area. ⏐ 단위 : 1000 ka In 1000ka ⏐ 국 유 림 Natonal forest 민 유림 Non-national ⏐ 총 계 공 유 림 ⏐ 계 계 Publc ouned forest 사 유림 ⏐ 요존림 불요존림 Under 도 유림군유림 ⏐ the other Provmce Privat
임야,1991,138,32. 영림서 및 시ㆍ도별 임야면적,"136-I. 농림• 어업 ⏐ 32. *뽑 및 5•게 가또피 ⏐ Area of Forest Land by Administrative District ⏐ ※*피쇼페적이, 유하 에 포함되어 있으므로 해봄이치츰과 ※ Detalis do not add up to total due to Iclusion of unsurveyed ⏐ 유가 찾하지 않음. ⏐ arean ⏐ 단위 * 1000 kz In 1000km ⏐ 국 유 림 National forest 민 유 림 Non- national ⏐ 총 계 산림청소관 (nder 탓부첩 유 림 ⏐ 졔 계 Puble owned forest 사 유림 ⏐ Office of Torest ⏐ 요존림 불요존림 Under 도유림군유림"
