연도,국가,국가코드,도시인구비율_퍼센트,지표코드,source_url,retrieved
1984,한국,KOR,63.149438472478,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
1985,한국,KOR,64.7952808591987,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
1986,한국,KOR,66.5771098057876,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
1987,한국,KOR,68.5628466782553,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
1988,한국,KOR,70.5877839860655,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
1989,한국,KOR,72.4660369649545,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
1990,한국,KOR,73.9851161168568,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
1991,한국,KOR,75.1606018983188,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
1992,한국,KOR,76.1960694185519,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
1993,한국,KOR,77.1082857281795,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
